Importance,Category,Task
78,Core,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies."
77,Core,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications."
73,Core,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised."
72,Core,Coordinate with the media to disseminate advertising.
71,Core,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research."
70,Core,Plan and execute advertising policies and strategies for organizations.
70,Core,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals."
67,Core,Prepare budgets and submit estimates for program costs as part of campaign plan development.
65,Core,Contact organizations to explain services and facilities offered.
65,Core,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.
64,Core,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers."
64,Core,"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms."
56,Core,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning."
72,Supplemental,"Manage sales team, including setting goals, providing incentives, and evaluating employee performance."
70,Supplemental,Prepare and negotiate advertising and sales contracts.
67,Supplemental,Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.
66,Supplemental,Train and direct workers engaged in developing and producing advertisements.
65,Supplemental,"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals."
63,Supplemental,Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.
61,Supplemental,Represent company at trade association meetings to promote products.
59,Supplemental,Direct and coordinate product research and development.
Not available,Not available,Analyze marketing or sales trends to forecast future conditions.
Not available,Not available,Analyze the effectiveness of marketing tactics or channels.
Not available,Not available,"Attend or participate in conferences, community events, and promotional events related to products or technologies."
Not available,Not available,"Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies."
Not available,Not available,"Coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs."
Not available,Not available,"Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services."
Not available,Not available,"Develop comprehensive marketing strategies, using knowledge of products and technologies, markets, and regulations."
Not available,Not available,"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires."
Not available,Not available,"Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas."
