Section,Category,Example
Technology,Analytical or scientific software,Data visualization software
Technology,Analytical or scientific software,Google Analytics
Technology,Analytical or scientific software,Relex Weibull
Technology,Analytical or scientific software,WebTrends Analytics
Technology,Business intelligence and data analysis software,Actuate BIRT
Technology,Business intelligence and data analysis software,Google DoubleClick
Technology,Business intelligence and data analysis software,Tableau
Technology,Calendar and scheduling software,Scheduling software
Technology,Cloud-based data access and sharing software,Microsoft SharePoint
Technology,Customer relationship management CRM software,Constant Contact
Technology,Customer relationship management CRM software,MarketSharp
Technology,Customer relationship management CRM software,Oracle Eloqua
Technology,Customer relationship management CRM software,Salesforce software
Technology,Data base management system software,Microsoft SQL Server
Technology,Data base reporting software,AdRelevance
Technology,Data base user interface and query software,Database software
Technology,Data base user interface and query software,Microsoft Access
Technology,Data base user interface and query software,PaloAlto Advertising Plan Pro
Technology,Data base user interface and query software,Structure query language SQL
Technology,Desktop publishing software,Adobe Systems Adobe InDesign
Technology,Desktop publishing software,Adobe Systems Adobe PageMaker
Technology,Desktop publishing software,Microsoft Publisher
Technology,Desktop publishing software,Quark enterprise publishing software
Technology,Development environment software,Adobe Systems Adobe Creative Suite
Technology,Document management software,Adobe Systems Adobe Acrobat
Technology,Document management software,Adobe Systems Adobe Acrobat Reader
Technology,Document management software,Data warehousing software
Technology,Electronic mail software,Email software
Technology,Electronic mail software,IBM Lotus Notes
Technology,Electronic mail software,MailChimp
Technology,Electronic mail software,Microsoft Outlook
Technology,Enterprise application integration software,Extensible markup language XML
Technology,Enterprise application integration software,Hootsuite
Technology,Enterprise resource planning ERP software,Brainworks
Technology,Enterprise resource planning ERP software,Microsoft Dynamics
Technology,Enterprise resource planning ERP software,SAP software
Technology,Graphics or photo imaging software,Adobe Systems Adobe Illustrator
Technology,Graphics or photo imaging software,Adobe Systems Adobe Photoshop
Technology,Information retrieval or search software,Pinterest
Technology,Instant messaging software,Twitter
Technology,Internet browser software,Web browser software
Technology,Inventory management software,Inventory tracking software
Technology,Office suite software,Microsoft Office software
Technology,Operating system software,Microsoft Windows
Technology,Presentation software,Microsoft PowerPoint
Technology,Project management software,Experience in Software Webplanner
Technology,Project management software,Microsoft Project
Technology,Sales and marketing software,Google Ads
Technology,Sales and marketing software,HubSpot software
Technology,Sales and marketing software,Marketo Marketing Automation
Technology,Sales and marketing software,Webtrends software
Technology,Spreadsheet software,Microsoft Excel
Technology,Video creation and editing software,Adobe Systems Adobe After Effects
Technology,Video creation and editing software,Apple Final Cut Pro
Technology,Video creation and editing software,Avid Media Composer
Technology,Video creation and editing software,YouTube
Technology,Web page creation and editing software,Adobe Systems Adobe Dreamweaver
Technology,Web page creation and editing software,Facebook
Technology,Web page creation and editing software,LinkedIn
Technology,Web page creation and editing software,WordPress
Technology,Web platform development software,Drupal
Technology,Web platform development software,Hypertext markup language HTML
Technology,Web platform development software,JavaScript
Technology,Word processing software,Microsoft Word
