Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
Electronic Mail,How often do you use electronic mail in this job?,100,Every day,,,,,,,,
Face-to-Face Discussions,How often do you have to have face-to-face discussions with individuals or teams in this job?,87,Every day,13,Once a week or more but not every day,,,,,,
Telephone,How often do you have telephone conversations in this job?,80,Every day,20,Once a week or more but not every day,,,,,,
Contact With Others,"How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?",71,Constant contact with others,25,Contact with others most of the time,,,,,,
"Indoors, Environmentally Controlled",How often does this job require working indoors in environmentally controlled conditions?,83,Every day,,,,,,,,
Work With Work Group or Team,How important is it to work with others in a group or team in this job?,60,Extremely important,31,Very important,,,,,,
Time Pressure,How often does this job require the worker to meet strict deadlines?,57,Every day,31,Once a week or more but not every day,,,,,,
Frequency of Decision Making,"How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?",53,Every day,31,Once a week or more but not every day,14,Once a month or more but not every week,,,,
Importance of Being Exact or Accurate,How important is being very exact or highly accurate in performing this job?,57,Extremely important,24,Very important,12,Important,,,,
Spend Time Sitting,How much does this job require sitting?,48,Continually or almost continually,37,More than half the time,15,About half the time,,,,
Structured versus Unstructured Work,"To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?",64,A lot of freedom,11,Some freedom,13,Limited freedom,,,,
Deal With External Customers,How important is it to work with external customers or the public in this job?,57,Extremely important,23,Very important,11,Fairly important,,,,
Coordinate or Lead Others,How important is it to coordinate or lead others in accomplishing work activities in this job?,35,Extremely important,49,Very important,,,,,,
Freedom to Make Decisions,"How much decision making freedom, without supervision, does the job offer?",41,A lot of freedom,32,Some freedom,17,Limited freedom,,,,
Impact of Decisions on Co-workers or Company Results,What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?,39,Very important results,29,Important results,28,Moderate results,,,,
Duration of Typical Work Week,Number of hours typically worked in one week.,63,More than 40 hours,22,40 hours,15,Less than 40 hours,,,,
Letters and Memos,How often does the job require written letters and memos?,23,Every day,39,Once a week or more but not every day,30,Once a month or more but not every week,,,,
Responsibility for Outcomes and Results,How responsible is the worker for work outcomes and results of other workers?,39,Very high responsibility,29,High responsibility,21,Limited responsibility,,,,
Level of Competition,To what extent does this job require the worker to compete or to be aware of competitive pressures?,17,Extremely competitive,38,Highly competitive,19,Moderately competitive,13,Slightly competitive,12,Not at all competitive
Frequency of Conflict Situations,How often are there conflict situations the employee has to face in this job?,15,Every day,22,Once a week or more but not every day,36,Once a month or more but not every week,17,Once a year or more but not every month,,
Deal With Unpleasant or Angry People,"How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?",23,Once a week or more but not every day,45,Once a month or more but not every week,32,Once a year or more but not every month,,,,
Physical Proximity,To what extent does this job require the worker to perform job tasks in close physical proximity to other people?,23,Moderately close (at arm's length),36,"Slightly close (e.g., shared office)",41,"I work with others but not closely (e.g., private office)",,,,
Importance of Repeating Same Tasks,"How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?",15,Extremely important,14,Very important,22,Important,24,Fairly important,25,Not important at all
Public Speaking,How often do you have to perform public speaking in this job?,22,Once a week or more but not every day,19,Once a month or more but not every week,51,Once a year or more but not every month,,,,
Responsible for Others' Health and Safety,How much responsibility is there for the health and safety of others in this job?,33,High responsibility,16,Moderate responsibility,22,Limited responsibility,29,No responsibility,,
Spend Time Making Repetitive Motions,How much does this job require making repetitive motions?,13,Continually or almost continually,11,More than half the time,21,About half the time,25,Less than half the time,31,Never
"Outdoors, Exposed to Weather","How often does this job require working outdoors, exposed to all weather conditions?",14,Once a week or more but not every day,20,Once a month or more but not every week,42,Once a year or more but not every month,18,Never,,
"Sounds, Noise Levels Are Distracting or Uncomfortable",How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?,11,Once a week or more but not every day,18,Once a month or more but not every week,27,Once a year or more but not every month,34,Never,,
In an Enclosed Vehicle or Equipment,"How often does this job require working in a closed vehicle or equipment (e.g., car)?",25,Once a month or more but not every week,34,Once a year or more but not every month,29,Never,,,,
Consequence of Error,How serious would the result usually be if the worker made a mistake that was not readily correctable?,26,Very serious,27,Fairly serious,40,Not serious at all,,,,
Spend Time Standing,How much does this job require standing?,20,About half the time,57,Less than half the time,18,Never,,,,
"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls","How much does this job require using your hands to handle, control, or feel objects, tools or controls?",13,More than half the time,33,Less than half the time,45,Never,,,,
Degree of Automation,How automated is the job?,13,Highly automated,19,Moderately automated,26,Slightly automated,43,Not at all automated,,
"Outdoors, Under Cover","How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?",11,Every day,17,Once a month or more but not every week,23,Once a year or more but not every month,49,Never,,
Spend Time Walking and Running,How much does this job require walking and running?,15,About half the time,67,Less than half the time,18,Never,,,,
"Indoors, Not Environmentally Controlled","How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?",35,Once a year or more but not every month,56,Never,,,,,,
Extremely Bright or Inadequate Lighting,How often does this job require working in extremely bright or inadequate lighting conditions?,32,Once a year or more but not every month,63,Never,,,,,,
Very Hot or Cold Temperatures,How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?,30,Once a year or more but not every month,64,Never,,,,,,
Exposed to Contaminants,"How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?",25,Once a year or more but not every month,70,Never,,,,,,
"Cramped Work Space, Awkward Positions",How often does this job require working in cramped work spaces that requires getting into awkward positions?,84,Never,,,,,,,,
Work Schedules,How regular are the work schedules for this job?,20,"Irregular (changes with weather conditions, production demands, or contract duration)",80,"Regular (established routine, set schedule)",,,,,,
"Spend Time Kneeling, Crouching, Stooping, or Crawling","How much does this job require kneeling, crouching, stooping or crawling?",37,Less than half the time,63,Never,,,,,,
Spend Time Bending or Twisting the Body,How much does this job require bending or twisting your body?,26,Less than half the time,71,Never,,,,,,
"Exposed to Minor Burns, Cuts, Bites, or Stings","How often does this job require exposure to minor burns, cuts, bites, or stings?",27,Once a year or more but not every month,73,Never,,,,,,
Spend Time Keeping or Regaining Balance,How much does this job require keeping or regaining your balance?,20,Less than half the time,77,Never,,,,,,
"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets","How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?",12,Once a month or more but not every week,88,Never,,,,,,
Exposed to Hazardous Equipment,How often does this job require exposure to hazardous equipment?,20,Once a year or more but not every month,81,Never,,,,,,
Deal With Physically Aggressive People,How frequently does this job require the worker to deal with physical aggression of violent individuals?,14,Once a year or more but not every month,86,Never,,,,,,
Exposed to High Places,How often does this job require exposure to high places?,16,Once a year or more but not every month,84,Never,,,,,,
In an Open Vehicle or Equipment,"How often does this job require working in an open vehicle or equipment (e.g., tractor)?",93,Never,,,,,,,,
Exposed to Hazardous Conditions,How often does this job require exposure to hazardous conditions?,94,Never,,,,,,,,
"Spend Time Climbing Ladders, Scaffolds, or Poles","How much does this job require climbing ladders, scaffolds, or poles?",91,Never,,,,,,,,
Exposed to Disease or Infections,How often does this job require exposure to disease/infections?,97,Never,,,,,,,,
Exposed to Whole Body Vibration,"How often does this job require exposure to whole body vibration (e.g., operate a jackhammer)?",97,Never,,,,,,,,
Exposed to Radiation,How often does this job require exposure to radiation?,100,Never,,,,,,,,
Pace Determined by Speed of Equipment,How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.),100,Not important at all,,,,,,,,
"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection","How much does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?",100,Never,,,,,,,,
