O*NET-SOC Code,O*NET-SOC Title,Relatedness Tier
19-1029.01,Bioinformatics Scientists,Primary-Short
15-2099.01,Bioinformatics Technicians,Primary-Short
15-2051.02,Clinical Data Managers,Primary-Short
11-9121.01,Clinical Research Coordinators,Primary-Long
15-2051.00,Data Scientists,Primary-Short
19-1041.00,Epidemiologists,Primary-Long
19-1029.03,Geneticists,Primary-Long
19-4061.00,Social Science Research Assistants,Primary-Long
43-9111.00,Statistical Assistants,Primary-Long
15-2041.00,Statisticians,Primary-Short
15-2021.00,Mathematicians,Supplemental
15-1211.01,Health Informatics Specialists,Supplemental
19-1042.00,"Medical Scientists, Except Epidemiologists",Supplemental
19-1022.00,Microbiologists,Supplemental
19-1029.02,Molecular and Cellular Biologists,Supplemental
19-1021.00,Biochemists and Biophysicists,Supplemental
17-2031.00,Bioengineers and Biomedical Engineers,Supplemental
15-2031.00,Operations Research Analysts,Supplemental
11-9121.00,Natural Sciences Managers,Supplemental
13-2099.01,Financial Quantitative Analysts,Supplemental
