Importance,Category,Task
88,Core,"Draw conclusions or make predictions, based on data summaries or statistical analyses."
85,Core,"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques."
85,Core,Write detailed analysis plans and descriptions of analyses and findings for research protocols or reports.
84,Core,Calculate sample size requirements for clinical studies.
83,Core,"Read current literature, attend meetings or conferences, and talk with colleagues to keep abreast of methodological or conceptual developments in fields such as biostatistics, pharmacology, life sciences, and social sciences."
83,Core,"Design research studies in collaboration with physicians, life scientists, or other professionals."
83,Core,Prepare tables and graphs to present clinical data or results.
82,Core,Write program code to analyze data with statistical analysis software.
81,Core,Provide biostatistical consultation to clients or colleagues.
80,Core,Review clinical or other medical research protocols and recommend appropriate statistical analyses.
79,Core,Develop or implement data analysis algorithms.
79,Core,"Determine project plans, timelines, or technical objectives for statistical aspects of biological research studies."
79,Core,"Prepare statistical data for inclusion in reports to data monitoring committees, federal regulatory agencies, managers, or clients."
76,Core,Plan or direct research studies related to life sciences.
76,Core,Prepare articles for publication or presentation at professional conferences.
74,Core,Monitor clinical trials or experiments to ensure adherence to established procedures or to verify the quality of data collected.
70,Core,Write research proposals or grant applications for submission to external bodies.
68,Core,Design or maintain databases of biological data.
65,Core,Collect data through surveys or experimentation.
65,Core,Apply research or simulation results to extend biological theory or recommend new research projects.
63,Core,"Develop or use mathematical models to track changes in biological phenomena, such as the spread of infectious diseases."
63,Core,Assign work to biostatistical assistants or programmers.
61,Core,"Analyze archival data, such as birth, death, and disease records."
58,Core,Design surveys to assess health issues.
57,Core,Teach graduate or continuing education courses or seminars in biostatistics.
