Section,Category,Example
Technology,Analytical or scientific software,IBM SPSS Statistics
Technology,Analytical or scientific software,Minitab
Technology,Analytical or scientific software,SAS
Technology,Analytical or scientific software,The MathWorks MATLAB
Technology,Data base management system software,MySQL
Technology,Data base user interface and query software,Microsoft Access
Technology,Data base user interface and query software,Microsoft SQL Server
Technology,Data base user interface and query software,Oracle Database
Technology,Data base user interface and query software,Structured query language SQL
Technology,Data mining software,
Technology,Development environment software,Microsoft Visual Studio
Technology,Development environment software,Software development tools
Technology,Enterprise application integration software,Extensible markup language XML
Technology,Enterprise resource planning ERP software,SAP software
Technology,File versioning software,Git
Technology,Graphics or photo imaging software,Graphics software
Technology,Medical software,STAT! Systems QD Clinical
Technology,Object or component oriented development software,C#
Technology,Object or component oriented development software,Oracle Java
Technology,Object or component oriented development software,Perl
Technology,Object or component oriented development software,R
Technology,Office suite software,Microsoft Office software
Technology,Operating system software,Bash
Technology,Operating system software,Linux
Technology,Operating system software,Shell script
Technology,Operating system software,UNIX
Technology,Presentation software,Microsoft PowerPoint
Technology,Spreadsheet software,Microsoft Excel
Technology,Web platform development software,JavaScript
Technology,Web platform development software,PHP
Technology,Word processing software,Microsoft Word
