Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
Electronic Mail,How often do you use electronic mail in this job?,92,Every day,,,,,,,,
Spend Time Sitting,How much does this job require sitting?,54,Continually or almost continually,42,More than half the time,,,,,,
Work With Work Group or Team,How important is it to work with others in a group or team in this job?,54,Extremely important,29,Very important,17,Important,,,,
Importance of Being Exact or Accurate,How important is being very exact or highly accurate in performing this job?,58,Extremely important,21,Very important,17,Important,,,,
Freedom to Make Decisions,"How much decision making freedom, without supervision, does the job offer?",35,A lot of freedom,57,Some freedom,,,,,,
Face-to-Face Discussions,How often do you have to have face-to-face discussions with individuals or teams in this job?,42,Every day,46,Once a week or more but not every day,,,,,,
"Indoors, Environmentally Controlled",How often does this job require working indoors in environmentally controlled conditions?,71,Every day,13,Never,,,,,,
Structured versus Unstructured Work,"To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?",17,A lot of freedom,79,Some freedom,,,,,,
Telephone,How often do you have telephone conversations in this job?,29,Every day,42,Once a week or more but not every day,21,Once a month or more but not every week,,,,
Contact With Others,"How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?",25,Constant contact with others,25,Contact with others most of the time,46,Contact with others about half the time,,,,
Duration of Typical Work Week,Number of hours typically worked in one week.,33,More than 40 hours,67,40 hours,,,,,,
Coordinate or Lead Others,How important is it to coordinate or lead others in accomplishing work activities in this job?,13,Extremely important,25,Very important,50,Important,13,Fairly important,,
Time Pressure,How often does this job require the worker to meet strict deadlines?,50,Once a week or more but not every day,25,Once a month or more but not every week,21,Once a year or more but not every month,,,,
Level of Competition,To what extent does this job require the worker to compete or to be aware of competitive pressures?,35,Highly competitive,43,Moderately competitive,,,,,,
Responsibility for Outcomes and Results,How responsible is the worker for work outcomes and results of other workers?,46,High responsibility,25,Moderate responsibility,21,Limited responsibility,,,,
Impact of Decisions on Co-workers or Company Results,What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?,54,Important results,13,Moderate results,21,No results,,,,
Letters and Memos,How often does the job require written letters and memos?,21,Once a week or more but not every day,42,Once a month or more but not every week,21,Once a year or more but not every month,,,,
Frequency of Decision Making,"How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?",17,Every day,13,Once a week or more but not every day,22,Once a month or more but not every week,35,Once a year or more but not every month,13,Never
Deal With External Customers,How important is it to work with external customers or the public in this job?,13,Extremely important,17,Very important,29,Important,17,Fairly important,25,Not important at all
Importance of Repeating Same Tasks,"How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?",21,Very important,21,Important,33,Fairly important,17,Not important at all,,
Physical Proximity,To what extent does this job require the worker to perform job tasks in close physical proximity to other people?,50,"Slightly close (e.g., shared office)",38,"I work with others but not closely (e.g., private office)",,,,,,
Public Speaking,How often do you have to perform public speaking in this job?,17,Once a week or more but not every day,25,Once a month or more but not every week,50,Once a year or more but not every month,,,,
Frequency of Conflict Situations,How often are there conflict situations the employee has to face in this job?,33,Once a month or more but not every week,54,Once a year or more but not every month,,,,,,
Spend Time Making Repetitive Motions,How much does this job require making repetitive motions?,21,More than half the time,13,About half the time,38,Less than half the time,25,Never,,
Consequence of Error,How serious would the result usually be if the worker made a mistake that was not readily correctable?,17,Very serious,17,Serious,13,Fairly serious,43,Not serious at all,,
