Importance,Work Style,Work Style Description
94,Analytical Thinking,Job requires analyzing information and using logic to address work-related issues and problems.
92,Integrity,Job requires being honest and ethical.
86,Attention to Detail,Job requires being careful about detail and thorough in completing work tasks.
82,Cooperation,"Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
77,Independence,"Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
75,Dependability,"Job requires being reliable, responsible, and dependable, and fulfilling obligations."
72,Achievement/Effort,Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
72,Persistence,Job requires persistence in the face of obstacles.
70,Initiative,Job requires a willingness to take on responsibilities and challenges.
65,Leadership,"Job requires a willingness to lead, take charge, and offer opinions and direction."
65,Adaptability/Flexibility,Job requires being open to change (positive or negative) and to considerable variety in the workplace.
64,Stress Tolerance,Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
61,Innovation,Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
60,Self-Control,"Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
52,Concern for Others,Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
46,Social Orientation,"Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
