O*NET-SOC Code,O*NET-SOC Title,Relatedness Tier
15-2051.02,Clinical Data Managers,Primary-Long
15-1211.00,Computer Systems Analysts,Primary-Short
15-2051.00,Data Scientists,Primary-Short
15-1299.03,Document Management Specialists,Primary-Long
13-2054.00,Financial Risk Specialists,Primary-Long
13-1161.00,Market Research Analysts and Marketing Specialists,Primary-Short
11-2021.00,Marketing Managers,Primary-Short
15-2031.00,Operations Research Analysts,Primary-Long
13-1161.01,Search Marketing Strategists,Primary-Long
43-9111.00,Statistical Assistants,Primary-Short
13-1111.00,Management Analysts,Supplemental
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Supplemental
15-1252.00,Software Developers,Supplemental
15-1299.05,Information Security Engineers,Supplemental
13-2099.01,Financial Quantitative Analysts,Supplemental
15-1243.00,Database Architects,Supplemental
13-2051.00,Financial and Investment Analysts,Supplemental
13-1081.02,Logistics Analysts,Supplemental
15-1242.00,Database Administrators,Supplemental
11-2022.00,Sales Managers,Supplemental
