Importance,Category,Task
85,Core,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders."
75,Core,Synthesize current business intelligence or trend data to support recommendations for action.
74,Core,"Maintain library of model documents, templates, or other reusable knowledge assets."
74,Core,"Create business intelligence tools or systems, including design of related databases, spreadsheets, or outputs."
73,Core,Manage timely flow of business intelligence information to users.
69,Core,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources."
69,Core,"Analyze competitive market strategies through analysis of related product, market, or share trends."
66,Core,"Maintain or update business intelligence tools, databases, dashboards, systems, or methods."
66,Core,"Identify or monitor current and potential customers, using business intelligence tools."
63,Core,"Disseminate information regarding tools, reports, or metadata enhancements."
61,Core,"Provide technical support for existing reports, dashboards, or other tools."
59,Core,Identify and analyze industry or geographic trends with business strategy implications.
55,Core,"Communicate with customers, competitors, suppliers, professional organizations, or others to stay abreast of industry or business trends."
55,Core,Create or review technical design documentation to ensure the accurate development of reporting solutions.
53,Core,Analyze technology trends to identify markets for future product development or to improve sales of existing products.
53,Core,Conduct or coordinate tests to ensure that intelligence is consistent with defined needs.
49,Supplemental,"Document specifications for business intelligence or information technology reports, dashboards, or other outputs."
