Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
Electronic Mail,How often do you use electronic mail in this job?,90,Every day,,,,,,,,
Spend Time Sitting,How much does this job require sitting?,76,Continually or almost continually,19,More than half the time,,,,,,
Structured versus Unstructured Work,"To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?",52,A lot of freedom,38,Some freedom,,,,,,
Telephone,How often do you have telephone conversations in this job?,48,Every day,43,Once a week or more but not every day,,,,,,
"Indoors, Environmentally Controlled",How often does this job require working indoors in environmentally controlled conditions?,76,Every day,,,,,,,,
Freedom to Make Decisions,"How much decision making freedom, without supervision, does the job offer?",48,A lot of freedom,38,Some freedom,,,,,,
Importance of Being Exact or Accurate,How important is being very exact or highly accurate in performing this job?,38,Extremely important,48,Very important,14,Important,,,,
Face-to-Face Discussions,How often do you have to have face-to-face discussions with individuals or teams in this job?,24,Every day,67,Once a week or more but not every day,,,,,,
Contact With Others,"How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?",19,Constant contact with others,52,Contact with others most of the time,19,Contact with others about half the time,,,,
Time Pressure,How often does this job require the worker to meet strict deadlines?,24,Every day,33,Once a week or more but not every day,43,Once a month or more but not every week,,,,
Work With Work Group or Team,How important is it to work with others in a group or team in this job?,33,Extremely important,38,Very important,24,Fairly important,,,,
Duration of Typical Work Week,Number of hours typically worked in one week.,29,More than 40 hours,67,40 hours,,,,,,
Impact of Decisions on Co-workers or Company Results,What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?,40,Important results,25,Moderate results,25,Minor results,,,,
Frequency of Decision Making,"How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?",24,Every day,14,Once a week or more but not every day,33,Once a month or more but not every week,29,Once a year or more but not every month,,
Importance of Repeating Same Tasks,"How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?",29,Extremely important,19,Very important,14,Important,24,Fairly important,14,Not important at all
Letters and Memos,How often does the job require written letters and memos?,14,Every day,38,Once a week or more but not every day,14,Once a month or more but not every week,19,Once a year or more but not every month,14,Never
Coordinate or Lead Others,How important is it to coordinate or lead others in accomplishing work activities in this job?,19,Very important,38,Important,33,Fairly important,,,,
Level of Competition,To what extent does this job require the worker to compete or to be aware of competitive pressures?,24,Highly competitive,62,Moderately competitive,,,,,,
Spend Time Making Repetitive Motions,How much does this job require making repetitive motions?,30,Continually or almost continually,15,More than half the time,15,Less than half the time,30,Never,,
Physical Proximity,To what extent does this job require the worker to perform job tasks in close physical proximity to other people?,67,"Slightly close (e.g., shared office)",19,"I work with others but not closely (e.g., private office)",,,,,,
Public Speaking,How often do you have to perform public speaking in this job?,14,Once a week or more but not every day,29,Once a month or more but not every week,52,Once a year or more but not every month,,,,
Responsibility for Outcomes and Results,How responsible is the worker for work outcomes and results of other workers?,43,Moderate responsibility,33,Limited responsibility,14,No responsibility,,,,
Frequency of Conflict Situations,How often are there conflict situations the employee has to face in this job?,14,Once a week or more but not every day,24,Once a month or more but not every week,48,Once a year or more but not every month,14,Never,,
Deal With External Customers,How important is it to work with external customers or the public in this job?,14,Extremely important,14,Important,24,Fairly important,43,Not important at all,,
Deal With Unpleasant or Angry People,"How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?",48,Once a year or more but not every month,29,Never,,,,,,
Degree of Automation,How automated is the job?,24,Moderately automated,38,Slightly automated,29,Not at all automated,,,,
"Sounds, Noise Levels Are Distracting or Uncomfortable",How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?,14,Once a month or more but not every week,14,Once a year or more but not every month,52,Never,,,,
"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls","How much does this job require using your hands to handle, control, or feel objects, tools or controls?",20,Continually or almost continually,75,Never,,,,,,
Consequence of Error,How serious would the result usually be if the worker made a mistake that was not readily correctable?,38,Fairly serious,48,Not serious at all,,,,,,
Spend Time Standing,How much does this job require standing?,52,Less than half the time,43,Never,,,,,,
Responsible for Others' Health and Safety,How much responsibility is there for the health and safety of others in this job?,76,No responsibility,,,,,,,,
Spend Time Walking and Running,How much does this job require walking and running?,48,Less than half the time,52,Never,,,,,,
Work Schedules,How regular are the work schedules for this job?,14,"Irregular (changes with weather conditions, production demands, or contract duration)",81,"Regular (established routine, set schedule)",,,,,,
In an Enclosed Vehicle or Equipment,"How often does this job require working in a closed vehicle or equipment (e.g., car)?",80,Never,,,,,,,,
"Indoors, Not Environmentally Controlled","How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?",90,Never,,,,,,,,
Exposed to Disease or Infections,How often does this job require exposure to disease/infections?,90,Never,,,,,,,,
Deal With Physically Aggressive People,How frequently does this job require the worker to deal with physical aggression of violent individuals?,90,Never,,,,,,,,
"Outdoors, Exposed to Weather","How often does this job require working outdoors, exposed to all weather conditions?",95,Never,,,,,,,,
Pace Determined by Speed of Equipment,How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.),95,Not important at all,,,,,,,,
"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets","How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?",90,Never,,,,,,,,
Exposed to Contaminants,"How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?",95,Never,,,,,,,,
Exposed to Hazardous Equipment,How often does this job require exposure to hazardous equipment?,95,Never,,,,,,,,
"Outdoors, Under Cover","How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?",95,Never,,,,,,,,
Spend Time Bending or Twisting the Body,How much does this job require bending or twisting your body?,95,Never,,,,,,,,
