O*NET-SOC Code,O*NET-SOC Title,Relatedness Tier
15-2099.01,Bioinformatics Technicians,Primary-Short
15-2041.01,Biostatisticians,Primary-Long
15-2051.01,Business Intelligence Analysts,Primary-Long
11-9121.01,Clinical Research Coordinators,Primary-Short
15-2051.00,Data Scientists,Primary-Short
15-1211.01,Health Informatics Specialists,Primary-Short
13-1082.00,Project Management Specialists,Primary-Long
19-4061.00,Social Science Research Assistants,Primary-Short
43-9111.00,Statistical Assistants,Primary-Long
15-2041.00,Statisticians,Primary-Long
29-9021.00,Health Information Technologists and Medical Registrars,Supplemental
13-1041.07,Regulatory Affairs Specialists,Supplemental
13-1111.00,Management Analysts,Supplemental
15-1211.00,Computer Systems Analysts,Supplemental
11-9111.00,Medical and Health Services Managers,Supplemental
15-1299.03,Document Management Specialists,Supplemental
15-1242.00,Database Administrators,Supplemental
15-1252.00,Software Developers,Supplemental
29-2072.00,Medical Records Specialists,Supplemental
19-1029.01,Bioinformatics Scientists,Supplemental
