Section,Category,Example
Technology,Access software,Citrix cloud computing software
Technology,Analytical or scientific software,IBM SPSS Statistics
Technology,Analytical or scientific software,Oracle Remote Data Capture
Technology,Analytical or scientific software,SAS
Technology,Analytical or scientific software,SAS JMP
Technology,Categorization or classification software,Autocoders
Technology,Categorization or classification software,Drug coding software
Technology,Data base management system software,Relational database management software
Technology,Data base management system software,Teradata Database
Technology,Data base reporting software,Oracle SQL Loader
Technology,Data base reporting software,SAP BusinessObjects Crystal Reports
Technology,Data base reporting software,SAP Crystal Reports
Technology,Data base user interface and query software,Clinical trial management software
Technology,Data base user interface and query software,Microsoft Access
Technology,Data base user interface and query software,Relational database software
Technology,Data base user interface and query software,Structured query language SQL
Technology,Development environment software,Go
Technology,Development environment software,Microsoft Visual Basic
Technology,Enterprise application integration software,Extensible markup language XML
Technology,Medical software,Allscripts healthcare automation software
Technology,Medical software,Epic Systems
Technology,Medical software,MEDITECH software
Technology,Object or component oriented development software,C#
Technology,Object or component oriented development software,C++
Technology,Object or component oriented development software,Oracle Java
Technology,Office suite software,Microsoft Office software
Technology,Presentation software,Microsoft PowerPoint
Technology,Process mapping and design software,Microsoft Visio
Technology,Project management software,Microsoft Project
Technology,Spreadsheet software,Microsoft Excel
Technology,Word processing software,Microsoft Word
