Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
Electronic Mail,How often do you use electronic mail in this job?,100,Every day,,,,,,,,
Spend Time Sitting,How much does this job require sitting?,85,Continually or almost continually,15,More than half the time,,,,,,
Telephone,How often do you have telephone conversations in this job?,50,Every day,50,Once a week or more but not every day,,,,,,
Importance of Being Exact or Accurate,How important is being very exact or highly accurate in performing this job?,60,Extremely important,30,Very important,,,,,,
Work With Work Group or Team,How important is it to work with others in a group or team in this job?,55,Extremely important,25,Very important,20,Important,,,,
"Indoors, Environmentally Controlled",How often does this job require working indoors in environmentally controlled conditions?,80,Every day,15,Never,,,,,,
Contact With Others,"How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?",50,Constant contact with others,30,Contact with others most of the time,15,Contact with others about half the time,,,,
Coordinate or Lead Others,How important is it to coordinate or lead others in accomplishing work activities in this job?,45,Extremely important,35,Very important,,,,,,
Face-to-Face Discussions,How often do you have to have face-to-face discussions with individuals or teams in this job?,45,Every day,30,Once a week or more but not every day,15,Once a month or more but not every week,,,,
Structured versus Unstructured Work,"To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?",35,A lot of freedom,40,Some freedom,25,Limited freedom,,,,
Time Pressure,How often does this job require the worker to meet strict deadlines?,35,Every day,35,Once a week or more but not every day,20,Once a month or more but not every week,,,,
Importance of Repeating Same Tasks,"How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?",35,Extremely important,40,Very important,15,Not important at all,,,,
Freedom to Make Decisions,"How much decision making freedom, without supervision, does the job offer?",15,A lot of freedom,45,Some freedom,35,Limited freedom,,,,
Duration of Typical Work Week,Number of hours typically worked in one week.,30,More than 40 hours,70,40 hours,,,,,,
Responsibility for Outcomes and Results,How responsible is the worker for work outcomes and results of other workers?,20,Very high responsibility,30,High responsibility,25,Moderate responsibility,20,Limited responsibility,,
Level of Competition,To what extent does this job require the worker to compete or to be aware of competitive pressures?,35,Highly competitive,40,Moderately competitive,,,,,,
Impact of Decisions on Co-workers or Company Results,What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?,40,Important results,30,Moderate results,15,Minor results,,,,
Frequency of Decision Making,"How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?",20,Every day,20,Once a week or more but not every day,15,Once a month or more but not every week,35,Once a year or more but not every month,,
Physical Proximity,To what extent does this job require the worker to perform job tasks in close physical proximity to other people?,15,Moderately close (at arm's length),70,"Slightly close (e.g., shared office)",,,,,,
Spend Time Making Repetitive Motions,How much does this job require making repetitive motions?,25,Continually or almost continually,20,More than half the time,30,Less than half the time,25,Never,,
Letters and Memos,How often does the job require written letters and memos?,15,Every day,15,Once a week or more but not every day,20,Once a month or more but not every week,40,Once a year or more but not every month,,
Deal With External Customers,How important is it to work with external customers or the public in this job?,15,Extremely important,30,Very important,35,Not important at all,,,,
Frequency of Conflict Situations,How often are there conflict situations the employee has to face in this job?,20,Once a week or more but not every day,45,Once a month or more but not every week,30,Once a year or more but not every month,,,,
Degree of Automation,How automated is the job?,45,Moderately automated,30,Slightly automated,15,Not at all automated,,,,
Deal With Unpleasant or Angry People,"How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?",37,Once a month or more but not every week,58,Once a year or more but not every month,,,,,,
"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls","How much does this job require using your hands to handle, control, or feel objects, tools or controls?",21,Continually or almost continually,11,More than half the time,11,Less than half the time,53,Never,,
Public Speaking,How often do you have to perform public speaking in this job?,15,Once a month or more but not every week,75,Once a year or more but not every month,,,,,,
Consequence of Error,How serious would the result usually be if the worker made a mistake that was not readily correctable?,30,Serious,25,Fairly serious,35,Not serious at all,,,,
"Sounds, Noise Levels Are Distracting or Uncomfortable",How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?,25,Once a year or more but not every month,50,Never,,,,,,
Responsible for Others' Health and Safety,How much responsibility is there for the health and safety of others in this job?,25,Limited responsibility,60,No responsibility,,,,,,
Spend Time Standing,How much does this job require standing?,45,Less than half the time,55,Never,,,,,,
Work Schedules,How regular are the work schedules for this job?,85,"Regular (established routine, set schedule)",,,,,,,,
Spend Time Walking and Running,How much does this job require walking and running?,30,Less than half the time,70,Never,,,,,,
Exposed to Disease or Infections,How often does this job require exposure to disease/infections?,15,Once a year or more but not every month,80,Never,,,,,,
In an Enclosed Vehicle or Equipment,"How often does this job require working in a closed vehicle or equipment (e.g., car)?",15,Once a year or more but not every month,80,Never,,,,,,
"Cramped Work Space, Awkward Positions",How often does this job require working in cramped work spaces that requires getting into awkward positions?,85,Never,,,,,,,,
Spend Time Bending or Twisting the Body,How much does this job require bending or twisting your body?,85,Never,,,,,,,,
Pace Determined by Speed of Equipment,How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.),95,Not important at all,,,,,,,,
Deal With Physically Aggressive People,How frequently does this job require the worker to deal with physical aggression of violent individuals?,11,Once a year or more but not every month,89,Never,,,,,,
Exposed to Contaminants,"How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?",90,Never,,,,,,,,
