Importance,Work Style,Work Style Description
94,Attention to Detail,Job requires being careful about detail and thorough in completing work tasks.
86,Integrity,Job requires being honest and ethical.
81,Dependability,"Job requires being reliable, responsible, and dependable, and fulfilling obligations."
79,Cooperation,"Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
78,Analytical Thinking,Job requires analyzing information and using logic to address work-related issues and problems.
75,Persistence,Job requires persistence in the face of obstacles.
74,Achievement/Effort,Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
74,Leadership,"Job requires a willingness to lead, take charge, and offer opinions and direction."
73,Initiative,Job requires a willingness to take on responsibilities and challenges.
73,Stress Tolerance,Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
69,Adaptability/Flexibility,Job requires being open to change (positive or negative) and to considerable variety in the workplace.
63,Self-Control,"Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
60,Social Orientation,"Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
59,Independence,"Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
58,Concern for Others,Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
54,Innovation,Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
