O*NET-SOC Code,O*NET-SOC Title,Relatedness Tier
19-1029.01,Bioinformatics Scientists,Primary-Short
15-2099.01,Bioinformatics Technicians,Primary-Long
15-2041.01,Biostatisticians,Primary-Long
15-2051.01,Business Intelligence Analysts,Primary-Long
15-2051.02,Clinical Data Managers,Primary-Long
13-2099.01,Financial Quantitative Analysts,Primary-Short
15-2021.00,Mathematicians,Primary-Long
15-2031.00,Operations Research Analysts,Primary-Short
43-9111.00,Statistical Assistants,Primary-Short
15-2041.00,Statisticians,Primary-Short
15-1243.00,Database Architects,Supplemental
15-1221.00,Computer and Information Research Scientists,Supplemental
15-1299.02,Geographic Information Systems Technologists and Technicians,Supplemental
13-1111.00,Management Analysts,Supplemental
19-3022.00,Survey Researchers,Supplemental
15-1211.00,Computer Systems Analysts,Supplemental
19-4061.00,Social Science Research Assistants,Supplemental
17-2031.00,Bioengineers and Biomedical Engineers,Supplemental
15-1242.00,Database Administrators,Supplemental
11-9121.00,Natural Sciences Managers,Supplemental
