Section,Category,Example
Technology,Analytical or scientific software,IBM SPSS Statistics
Technology,Analytical or scientific software,SAS
Technology,Analytical or scientific software,StataCorp Stata
Technology,Analytical or scientific software,The MathWorks MATLAB
Technology,Application server software,Docker
Technology,Application server software,GitHub
Technology,Application server software,Kubernetes
Technology,Application server software,RESTful API
Technology,Business intelligence and data analysis software,Apache Spark
Technology,Business intelligence and data analysis software,MapReduce big data software
Technology,Business intelligence and data analysis software,Qlik Tech QlikView
Technology,Business intelligence and data analysis software,Tableau
Technology,Cloud-based management software,Amazon Web Services AWS SageMaker
Technology,Cloud-based management software,Google Cloud software
Technology,Content workflow software,Atlassian JIRA
Technology,Data base management system software,Apache Hadoop
Technology,Data base management system software,Apache Hive
Technology,Data base management system software,NoSQL
Technology,Data base management system software,Teradata Database
Technology,Data base reporting software,Reporting software
Technology,Data base user interface and query software,Amazon Web Services AWS software
Technology,Data base user interface and query software,Microsoft Access
Technology,Data base user interface and query software,PySpark
Technology,Data base user interface and query software,Structured query language SQL
Technology,Development environment software,C
Technology,Development environment software,Microsoft Azure software
Technology,Development environment software,Ruby
Technology,Development environment software,XGBoost
Technology,Enterprise application integration software,Jenkins CI
Technology,Enterprise resource planning ERP software,Management information systems MIS
Technology,Enterprise system management software,Splunk Enterprise
Technology,File versioning software,Git
Technology,Geographic information system,Geographic information system GIS systems
Technology,Industrial control software,Apache MXNet
Technology,Industrial control software,TensorFlow
Technology,Object or component oriented development software,C++
Technology,Object or component oriented development software,Oracle Java
Technology,Object or component oriented development software,R
Technology,Object or component oriented development software,Scala
Technology,Object oriented data base management software,PostgreSQL
Technology,Office suite software,Microsoft Office software
Technology,Operating system software,Bash
Technology,Operating system software,Keras
Technology,Operating system software,Linux
Technology,Operating system software,UNIX
Technology,Presentation software,Microsoft PowerPoint
Technology,Procedure management software,Apache Airflow
Technology,Project management software,Atlassian Confluence
Technology,Spreadsheet software,Microsoft Excel
Technology,Storage networking software,Amazon Simple Storage Service S3
Technology,Web platform development software,JavaScript
Technology,Web platform development software,JavaScript Object Notation JSON
