O*NET-SOC Code,O*NET-SOC Title,Relatedness Tier
15-1211.00,Computer Systems Analysts,Primary-Short
15-1242.00,Database Administrators,Primary-Short
15-1243.00,Database Architects,Primary-Long
29-9021.00,Health Information Technologists and Medical Registrars,Primary-Short
15-1212.00,Information Security Analysts,Primary-Long
15-1299.05,Information Security Engineers,Primary-Long
13-1111.00,Management Analysts,Primary-Short
29-2072.00,Medical Records Specialists,Primary-Long
15-1252.00,Software Developers,Primary-Short
15-1299.01,Web Administrators,Primary-Long
43-4071.00,File Clerks,Supplemental
43-9111.00,Statistical Assistants,Supplemental
11-3012.00,Administrative Services Managers,Supplemental
15-2051.02,Clinical Data Managers,Supplemental
15-2051.01,Business Intelligence Analysts,Supplemental
15-1299.08,Computer Systems Engineers/Architects,Supplemental
13-1082.00,Project Management Specialists,Supplemental
43-9061.00,"Office Clerks, General",Supplemental
27-3042.00,Technical Writers,Supplemental
15-1299.09,Information Technology Project Managers,Supplemental
