Section,Category,Example
Technology,Analytical or scientific software,CAPSYS Capture
Technology,Analytical or scientific software,EMC Captiva
Technology,Analytical or scientific software,Microsoft Office Document Imaging
Technology,Analytical or scientific software,Office Gemini Diamond Vision
Technology,Application server software,Oracle WebLogic Server
Technology,Cloud-based data access and sharing software,Microsoft SharePoint
Technology,Cloud-based management software,IBM WebSphere MQ
Technology,Computer aided design CAD software,Autodesk AutoCAD
Technology,Computer aided design CAD software,Dassault Systemes SolidWorks
Technology,Computer aided design CAD software,PTC Creo Parametric
Technology,Content workflow software,IBM FileNet Content Manager
Technology,Content workflow software,Thomson Reuters GoFileRoom
Technology,Data base management system software,Teradata Database
Technology,Data base reporting software,SAP Business Objects
Technology,Data base user interface and query software,FileMaker Pro
Technology,Data base user interface and query software,IBM DB2
Technology,Data base user interface and query software,Microsoft Access
Technology,Data base user interface and query software,Microsoft SQL Server
Technology,Data compression software,File compression software
Technology,Data mining software,Google Analytics
Technology,Desktop communications software,Skype
Technology,Desktop publishing software,Adobe Systems Adobe InDesign
Technology,Development environment software,Microsoft .NET Framework
Technology,Development environment software,Microsoft Visual Basic
Technology,Development environment software,Oracle SQL Developer
Technology,Document management software,Adobe Systems Adobe Acrobat
Technology,Document management software,Alfresco Software Alfresco
Technology,Document management software,FileHold Systems FileHold
Technology,Document management software,Records management software
Technology,Electronic mail software,IBM Notes
Technology,Electronic mail software,Microsoft Outlook
Technology,Enterprise application integration software,Extensible markup language XML
Technology,Enterprise application integration software,SAP BusinessObjects Data Integrator
Technology,Enterprise resource planning ERP software,Business process management BPM software
Technology,Enterprise resource planning ERP software,Microsoft Dynamics
Technology,Enterprise resource planning ERP software,Oracle PeopleSoft Financials
Technology,Enterprise resource planning ERP software,SAP ERP Financials
Technology,File versioning software,Version control software
Technology,Filesystem software,File system software
Technology,Graphics or photo imaging software,Adobe Systems Adobe Photoshop
Technology,Object or component oriented development software,Apache Groovy
Technology,Object or component oriented development software,Oracle Java
Technology,Object or component oriented development software,Perl
Technology,Object or component oriented development software,SAP PowerBuilder
Technology,Office suite software,Microsoft Office software
Technology,Operating system software,IBM MVS
Technology,Operating system software,Linux
Technology,Operating system software,Microsoft Windows
Technology,Operating system software,UNIX
Technology,Optical character reader OCR or scanning software,Optical character recognition OCR software
Technology,Presentation software,Microsoft PowerPoint
Technology,Process mapping and design software,Microsoft Visio
Technology,Project management software,Central Desktop
Technology,Project management software,Microsoft Project
Technology,Requirements analysis and system architecture software,Unified modeling language UML
Technology,Sales and marketing software,Google Ads
Technology,Spreadsheet software,Microsoft Excel
Technology,Video conferencing software,Google Meet
Technology,Video creation and editing software,Apple Final Cut Pro
Technology,Video creation and editing software,WeVideo
Technology,Web page creation and editing software,Adobe Systems Adobe Dreamweaver
Technology,Web page creation and editing software,Google Sites
Technology,Web platform development software,Apache Tomcat
Technology,Web platform development software,Hypertext markup language HTML
Technology,Word processing software,Microsoft Word
