Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
Electronic Mail,How often do you use electronic mail in this job?,100,Every day,,,,,,,,
Telephone,How often do you have telephone conversations in this job?,74,Every day,26,Once a week or more but not every day,,,,,,
Face-to-Face Discussions,How often do you have to have face-to-face discussions with individuals or teams in this job?,59,Every day,41,Once a week or more but not every day,,,,,,
Work With Work Group or Team,How important is it to work with others in a group or team in this job?,33,Extremely important,56,Very important,11,Important,,,,
Spend Time Sitting,How much does this job require sitting?,35,Continually or almost continually,50,More than half the time,,,,,,
Importance of Being Exact or Accurate,How important is being very exact or highly accurate in performing this job?,35,Extremely important,45,Very important,,,,,,
Letters and Memos,How often does the job require written letters and memos?,37,Every day,32,Once a week or more but not every day,21,Once a month or more but not every week,11,Once a year or more but not every month,,
Structured versus Unstructured Work,"To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?",20,A lot of freedom,55,Some freedom,20,Limited freedom,,,,
Contact With Others,"How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?",16,Constant contact with others,47,Contact with others most of the time,37,Contact with others about half the time,,,,
Freedom to Make Decisions,"How much decision making freedom, without supervision, does the job offer?",20,A lot of freedom,45,Some freedom,30,Limited freedom,,,,
"Indoors, Environmentally Controlled",How often does this job require working indoors in environmentally controlled conditions?,61,Every day,11,Once a month or more but not every week,22,Never,,,,
Time Pressure,How often does this job require the worker to meet strict deadlines?,20,Every day,40,Once a week or more but not every day,30,Once a month or more but not every week,,,,
Coordinate or Lead Others,How important is it to coordinate or lead others in accomplishing work activities in this job?,28,Extremely important,28,Very important,28,Important,11,Fairly important,,
Duration of Typical Work Week,Number of hours typically worked in one week.,21,More than 40 hours,79,40 hours,,,,,,
Importance of Repeating Same Tasks,"How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?",21,Extremely important,21,Very important,32,Important,26,Fairly important,,
Impact of Decisions on Co-workers or Company Results,What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?,30,Important results,25,Moderate results,35,Minor results,,,,
Frequency of Decision Making,"How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?",16,Every day,21,Once a week or more but not every day,26,Once a month or more but not every week,32,Once a year or more but not every month,,
Level of Competition,To what extent does this job require the worker to compete or to be aware of competitive pressures?,26,Highly competitive,47,Moderately competitive,11,Slightly competitive,11,Not at all competitive,,
Responsibility for Outcomes and Results,How responsible is the worker for work outcomes and results of other workers?,11,Very high responsibility,26,High responsibility,26,Moderate responsibility,32,Limited responsibility,,
Degree of Automation,How automated is the job?,28,Highly automated,44,Moderately automated,28,Slightly automated,,,,
Deal With External Customers,How important is it to work with external customers or the public in this job?,26,Very important,37,Important,16,Fairly important,16,Not important at all,,
Physical Proximity,To what extent does this job require the worker to perform job tasks in close physical proximity to other people?,11,Moderately close (at arm's length),53,"Slightly close (e.g., shared office)",32,"I work with others but not closely (e.g., private office)",,,,
Consequence of Error,How serious would the result usually be if the worker made a mistake that was not readily correctable?,16,Very serious,37,Serious,37,Fairly serious,,,,
