O*NET-SOC Code,O*NET-SOC Title,Relatedness Tier
15-2051.01,Business Intelligence Analysts,Primary-Short
15-1211.00,Computer Systems Analysts,Primary-Long
15-2051.00,Data Scientists,Primary-Short
15-1243.00,Database Architects,Primary-Long
13-2051.00,Financial and Investment Analysts,Primary-Short
13-2054.00,Financial Risk Specialists,Primary-Short
11-3031.03,Investment Fund Managers,Primary-Long
15-2031.00,Operations Research Analysts,Primary-Short
43-9111.00,Statistical Assistants,Primary-Long
15-2041.00,Statisticians,Primary-Long
13-1111.00,Management Analysts,Supplemental
19-3011.00,Economists,Supplemental
15-1221.00,Computer and Information Research Scientists,Supplemental
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Supplemental
15-2021.00,Mathematicians,Supplemental
15-1252.00,Software Developers,Supplemental
13-1161.00,Market Research Analysts and Marketing Specialists,Supplemental
29-9021.00,Health Information Technologists and Medical Registrars,Supplemental
13-2041.00,Credit Analysts,Supplemental
15-1253.00,Software Quality Assurance Analysts and Testers,Supplemental
