Importance,Category,Task
85,Core,"Develop core analytical capabilities or model libraries, using advanced statistical, quantitative, or econometric techniques."
82,Core,Provide application or analytical support to researchers or traders on issues such as valuations or data.
81,Core,"Research or develop analytical tools to address issues such as portfolio construction or optimization, performance measurement, attribution, profit and loss measurement, or pricing models."
81,Core,Maintain or modify all financial analytic models in use.
77,Core,"Apply mathematical or statistical techniques to address practical issues in finance, such as derivative valuation, securities trading, risk management, or financial market regulation."
73,Core,Research new financial products or analytics to determine their usefulness.
72,Core,Devise or apply independent models or tools to help verify results of analytical systems.
71,Core,Define or recommend model specifications or data collection methods.
69,Core,"Confer with other financial engineers or analysts on trading strategies, market dynamics, or trading system performance to inform development of quantitative techniques."
67,Core,Interpret results of financial analysis procedures.
64,Core,"Collaborate with product development teams to research, model, validate, or implement quantitative structured solutions for new or expanded markets."
63,Core,Produce written summary reports of financial research results.
60,Core,Consult traders or other financial industry personnel to determine the need for new or improved analytical applications.
59,Core,"Identify, track, or maintain metrics for trading system operations."
58,Core,Prepare requirements documentation for use by software developers.
57,Core,"Collaborate in the development or testing of new analytical software to ensure compliance with user requirements, specifications, or scope."
25,Supplemental,Develop solutions to help clients hedge carbon exposure or risk.
25,Supplemental,Analyze pricing or risks of carbon trading products.
22,Supplemental,"Develop methods of assessing or measuring corporate performance in terms of environmental, social, and governance (ESG) issues."
17,Supplemental,"Develop tools to assess green technologies or green financial products, such as green hedge funds or social responsibility investment funds."
17,Supplemental,"Assess the potential impact of climate change on business financial issues, such as damage repairs, insurance costs, or potential disruptions of daily activities."
