Section,Category,Example
Technology,Analytical or scientific software,IBM SPSS Statistics
Technology,Analytical or scientific software,SAS
Technology,Analytical or scientific software,StataCorp Stata
Technology,Analytical or scientific software,The MathWorks MATLAB
Technology,Business intelligence and data analysis software,MicroStrategy
Technology,Business intelligence and data analysis software,Tableau
Technology,Data base management system software,Apache Hive
Technology,Data base user interface and query software,Microsoft Access
Technology,Data base user interface and query software,Microsoft SQL Server
Technology,Data base user interface and query software,Structured query language SQL
Technology,Data mining software,IBM Cognos Business Intelligence
Technology,Development environment software,Microsoft Visual Basic
Technology,Development environment software,Microsoft Visual Basic for Applications VBA
Technology,Development environment software,Microsoft Visual Studio
Technology,Enterprise resource planning ERP software,Microsoft Dynamics
Technology,Enterprise resource planning ERP software,MicroStrategy Desktop
Technology,Enterprise resource planning ERP software,Oracle JD Edwards EnterpriseOne
Technology,Financial analysis software,Bloomberg Professional
Technology,Internet browser software,Web browser software
Technology,Object or component oriented development software,C#
Technology,Object or component oriented development software,Oracle Java
Technology,Object or component oriented development software,Perl
Technology,Object or component oriented development software,R
Technology,Office suite software,Microsoft Office software
Technology,Operating system software,Linux
Technology,Operating system software,UNIX
Technology,Presentation software,Microsoft PowerPoint
Technology,Process mapping and design software,Microsoft Visio
Technology,Spreadsheet software,Microsoft Excel
Technology,Web platform development software,JavaScript
