Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
Electronic Mail,How often do you use electronic mail in this job?,100,Every day,,,,,,,,
Spend Time Sitting,How much does this job require sitting?,83,Continually or almost continually,17,More than half the time,,,,,,
Duration of Typical Work Week,Number of hours typically worked in one week.,87,More than 40 hours,13,40 hours,,,,,,
Importance of Being Exact or Accurate,How important is being very exact or highly accurate in performing this job?,74,Extremely important,22,Very important,,,,,,
"Indoors, Environmentally Controlled",How often does this job require working indoors in environmentally controlled conditions?,91,Every day,,,,,,,,
Face-to-Face Discussions,How often do you have to have face-to-face discussions with individuals or teams in this job?,64,Every day,27,Once a week or more but not every day,,,,,,
Level of Competition,To what extent does this job require the worker to compete or to be aware of competitive pressures?,61,Extremely competitive,35,Highly competitive,,,,,,
Telephone,How often do you have telephone conversations in this job?,50,Every day,41,Once a week or more but not every day,,,,,,
Freedom to Make Decisions,"How much decision making freedom, without supervision, does the job offer?",45,A lot of freedom,41,Some freedom,14,Limited freedom,,,,
Structured versus Unstructured Work,"To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?",35,A lot of freedom,61,Some freedom,,,,,,
Impact of Decisions on Co-workers or Company Results,What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?,39,Very important results,35,Important results,22,Moderate results,,,,
Work With Work Group or Team,How important is it to work with others in a group or team in this job?,26,Extremely important,43,Very important,22,Important,,,,
Consequence of Error,How serious would the result usually be if the worker made a mistake that was not readily correctable?,35,Extremely serious,30,Very serious,17,Serious,13,Fairly serious,,
Contact With Others,"How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?",57,Contact with others most of the time,17,Contact with others about half the time,17,Occasional contact with others,,,,
Time Pressure,How often does this job require the worker to meet strict deadlines?,52,Once a week or more but not every day,39,Once a month or more but not every week,,,,,,
Frequency of Decision Making,"How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?",30,Every day,39,Once a month or more but not every week,17,Once a year or more but not every month,,,,
Responsibility for Outcomes and Results,How responsible is the worker for work outcomes and results of other workers?,35,High responsibility,26,Moderate responsibility,30,Limited responsibility,,,,
Importance of Repeating Same Tasks,"How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?",22,Extremely important,26,Very important,13,Important,22,Fairly important,17,Not important at all
Coordinate or Lead Others,How important is it to coordinate or lead others in accomplishing work activities in this job?,13,Extremely important,22,Very important,35,Important,22,Fairly important,,
Letters and Memos,How often does the job require written letters and memos?,41,Once a month or more but not every week,41,Once a year or more but not every month,,,,,,
Physical Proximity,To what extent does this job require the worker to perform job tasks in close physical proximity to other people?,17,Moderately close (at arm's length),48,"Slightly close (e.g., shared office)",35,"I work with others but not closely (e.g., private office)",,,,
"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls","How much does this job require using your hands to handle, control, or feel objects, tools or controls?",17,Continually or almost continually,30,More than half the time,52,Never,,,,
Public Speaking,How often do you have to perform public speaking in this job?,17,Once a week or more but not every day,30,Once a month or more but not every week,43,Once a year or more but not every month,,,,
Frequency of Conflict Situations,How often are there conflict situations the employee has to face in this job?,26,Once a month or more but not every week,57,Once a year or more but not every month,,,,,,
Deal With External Customers,How important is it to work with external customers or the public in this job?,22,Very important,35,Fairly important,30,Not important at all,,,,
Deal With Unpleasant or Angry People,"How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?",17,Once a week or more but not every day,52,Once a year or more but not every month,22,Never,,,,
Degree of Automation,How automated is the job?,26,Moderately automated,43,Slightly automated,26,Not at all automated,,,,
Spend Time Making Repetitive Motions,How much does this job require making repetitive motions?,22,More than half the time,17,Less than half the time,52,Never,,,,
"Sounds, Noise Levels Are Distracting or Uncomfortable",How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?,17,Once a week or more but not every day,39,Once a year or more but not every month,43,Never,,,,
Spend Time Standing,How much does this job require standing?,57,Less than half the time,43,Never,,,,,,
Work Schedules,How regular are the work schedules for this job?,13,"Irregular (changes with weather conditions, production demands, or contract duration)",83,"Regular (established routine, set schedule)",,,,,,
Responsible for Others' Health and Safety,How much responsibility is there for the health and safety of others in this job?,17,Limited responsibility,78,No responsibility,,,,,,
In an Enclosed Vehicle or Equipment,"How often does this job require working in a closed vehicle or equipment (e.g., car)?",91,Never,,,,,,,,
Spend Time Walking and Running,How much does this job require walking and running?,14,Less than half the time,86,Never,,,,,,
Extremely Bright or Inadequate Lighting,How often does this job require working in extremely bright or inadequate lighting conditions?,96,Never,,,,,,,,
"Cramped Work Space, Awkward Positions",How often does this job require working in cramped work spaces that requires getting into awkward positions?,95,Never,,,,,,,,
"Exposed to Minor Burns, Cuts, Bites, or Stings","How often does this job require exposure to minor burns, cuts, bites, or stings?",95,Never,,,,,,,,
Exposed to Radiation,How often does this job require exposure to radiation?,96,Never,,,,,,,,
"Indoors, Not Environmentally Controlled","How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?",96,Never,,,,,,,,
"Outdoors, Exposed to Weather","How often does this job require working outdoors, exposed to all weather conditions?",96,Never,,,,,,,,
Deal With Physically Aggressive People,How frequently does this job require the worker to deal with physical aggression of violent individuals?,100,Never,,,,,,,,
Exposed to Contaminants,"How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?",100,Never,,,,,,,,
Exposed to Disease or Infections,How often does this job require exposure to disease/infections?,100,Never,,,,,,,,
Exposed to Hazardous Conditions,How often does this job require exposure to hazardous conditions?,100,Never,,,,,,,,
Exposed to Hazardous Equipment,How often does this job require exposure to hazardous equipment?,100,Never,,,,,,,,
Exposed to High Places,How often does this job require exposure to high places?,100,Never,,,,,,,,
Exposed to Whole Body Vibration,"How often does this job require exposure to whole body vibration (e.g., operate a jackhammer)?",100,Never,,,,,,,,
In an Open Vehicle or Equipment,"How often does this job require working in an open vehicle or equipment (e.g., tractor)?",100,Never,,,,,,,,
"Outdoors, Under Cover","How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?",100,Never,,,,,,,,
Pace Determined by Speed of Equipment,How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.),100,Not important at all,,,,,,,,
Spend Time Bending or Twisting the Body,How much does this job require bending or twisting your body?,100,Never,,,,,,,,
"Spend Time Climbing Ladders, Scaffolds, or Poles","How much does this job require climbing ladders, scaffolds, or poles?",100,Never,,,,,,,,
Spend Time Keeping or Regaining Balance,How much does this job require keeping or regaining your balance?,100,Never,,,,,,,,
"Spend Time Kneeling, Crouching, Stooping, or Crawling","How much does this job require kneeling, crouching, stooping or crawling?",100,Never,,,,,,,,
Very Hot or Cold Temperatures,How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?,100,Never,,,,,,,,
"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets","How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?",100,Never,,,,,,,,
"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection","How much does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?",100,Never,,,,,,,,
