O*NET-SOC Code,O*NET-SOC Title,Relatedness Tier
15-2051.01,Business Intelligence Analysts,Primary-Short
11-1011.00,Chief Executives,Primary-Long
15-2051.00,Data Scientists,Primary-Short
11-3121.00,Human Resources Managers,Primary-Long
19-3032.00,Industrial-Organizational Psychologists,Primary-Long
15-1299.05,Information Security Engineers,Primary-Long
15-1299.09,Information Technology Project Managers,Primary-Short
15-2031.00,Operations Research Analysts,Primary-Long
13-1082.00,Project Management Specialists,Primary-Short
11-3131.00,Training and Development Managers,Primary-Short
29-9021.00,Health Information Technologists and Medical Registrars,Supplemental
15-1252.00,Software Developers,Supplemental
11-3012.00,Administrative Services Managers,Supplemental
25-1011.00,"Business Teachers, Postsecondary",Supplemental
15-1299.03,Document Management Specialists,Supplemental
13-2054.00,Financial Risk Specialists,Supplemental
13-1161.00,Market Research Analysts and Marketing Specialists,Supplemental
11-3021.00,Computer and Information Systems Managers,Supplemental
11-9199.02,Compliance Managers,Supplemental
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Supplemental
