Importance,Category,Task
87,Core,Gather and organize information on problems or procedures.
87,Core,Confer with personnel concerned to ensure successful functioning of newly implemented systems or procedures.
86,Core,Analyze data gathered and develop solutions or alternative methods of proceeding.
81,Core,"Document findings of study and prepare recommendations for implementation of new systems, procedures, or organizational changes."
78,Core,"Plan study of work problems and procedures, such as organizational change, communications, information flow, integrated production methods, inventory control, or cost analysis."
78,Core,"Interview personnel and conduct on-site observation to ascertain unit functions, work performed, and methods, equipment, and personnel used."
71,Core,"Prepare manuals and train workers in use of new forms, reports, procedures or equipment, according to organizational policy."
69,Core,"Review forms and reports and confer with management and users about format, distribution, and purpose, identifying problems and improvements."
65,Core,"Develop and implement records management program for filing, protection, and retrieval of records, and assure compliance with program."
55,Core,"Design, evaluate, recommend, and approve changes of forms and reports."
55,Supplemental,Recommend purchase of storage equipment and design area layout to locate equipment in space available.
