Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
Electronic Mail,How often do you use electronic mail in this job?,100,Every day,,,,,,,,
Telephone,How often do you have telephone conversations in this job?,89,Every day,11,Once a week or more but not every day,,,,,,
Face-to-Face Discussions,How often do you have to have face-to-face discussions with individuals or teams in this job?,74,Every day,26,Once a week or more but not every day,,,,,,
Structured versus Unstructured Work,"To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?",50,A lot of freedom,35,Some freedom,15,Limited freedom,,,,
Work With Work Group or Team,How important is it to work with others in a group or team in this job?,50,Extremely important,35,Very important,15,Important,,,,
"Indoors, Environmentally Controlled",How often does this job require working indoors in environmentally controlled conditions?,63,Every day,16,Once a week or more but not every day,11,Once a month or more but not every week,,,,
Contact With Others,"How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?",40,Constant contact with others,45,Contact with others most of the time,15,Contact with others about half the time,,,,
Spend Time Sitting,How much does this job require sitting?,33,Continually or almost continually,52,More than half the time,14,About half the time,,,,
Freedom to Make Decisions,"How much decision making freedom, without supervision, does the job offer?",38,A lot of freedom,38,Some freedom,24,Limited freedom,,,,
Coordinate or Lead Others,How important is it to coordinate or lead others in accomplishing work activities in this job?,37,Extremely important,47,Very important,11,Fairly important,,,,
Impact of Decisions on Co-workers or Company Results,What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?,33,Very important results,48,Important results,14,Moderate results,,,,
Importance of Being Exact or Accurate,How important is being very exact or highly accurate in performing this job?,33,Extremely important,52,Very important,,,,,,
Time Pressure,How often does this job require the worker to meet strict deadlines?,19,Every day,62,Once a week or more but not every day,19,Once a month or more but not every week,,,,
Letters and Memos,How often does the job require written letters and memos?,11,Every day,67,Once a week or more but not every day,17,Once a month or more but not every week,,,,
Frequency of Decision Making,"How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?",35,Every day,15,Once a week or more but not every day,40,Once a month or more but not every week,,,,
Deal With External Customers,How important is it to work with external customers or the public in this job?,33,Extremely important,24,Very important,24,Important,,,,
Responsibility for Outcomes and Results,How responsible is the worker for work outcomes and results of other workers?,39,Very high responsibility,17,High responsibility,17,Moderate responsibility,22,Limited responsibility,,
Level of Competition,To what extent does this job require the worker to compete or to be aware of competitive pressures?,20,Extremely competitive,45,Highly competitive,15,Moderately competitive,,,,
Duration of Typical Work Week,Number of hours typically worked in one week.,33,More than 40 hours,52,40 hours,14,Less than 40 hours,,,,
Frequency of Conflict Situations,How often are there conflict situations the employee has to face in this job?,11,Every day,21,Once a week or more but not every day,26,Once a month or more but not every week,37,Once a year or more but not every month,,
Physical Proximity,To what extent does this job require the worker to perform job tasks in close physical proximity to other people?,40,"Slightly close (e.g., shared office)",35,"I work with others but not closely (e.g., private office)",,,,,,
Consequence of Error,How serious would the result usually be if the worker made a mistake that was not readily correctable?,26,Very serious,26,Serious,26,Fairly serious,16,Not serious at all,,
Deal With Unpleasant or Angry People,"How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?",21,Once a week or more but not every day,21,Once a month or more but not every week,53,Once a year or more but not every month,,,,
In an Enclosed Vehicle or Equipment,"How often does this job require working in a closed vehicle or equipment (e.g., car)?",38,Once a week or more but not every day,19,Once a month or more but not every week,29,Never,,,,
Public Speaking,How often do you have to perform public speaking in this job?,14,Once a week or more but not every day,52,Once a month or more but not every week,29,Once a year or more but not every month,,,,
Importance of Repeating Same Tasks,"How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?",15,Extremely important,15,Very important,15,Important,35,Fairly important,20,Not important at all
Degree of Automation,How automated is the job?,20,Highly automated,30,Moderately automated,35,Slightly automated,15,Not at all automated,,
Responsible for Others' Health and Safety,How much responsibility is there for the health and safety of others in this job?,15,High responsibility,20,Moderate responsibility,40,Limited responsibility,20,No responsibility,,
"Sounds, Noise Levels Are Distracting or Uncomfortable",How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?,29,Once a month or more but not every week,29,Once a year or more but not every month,29,Never,,,,
Spend Time Making Repetitive Motions,How much does this job require making repetitive motions?,38,Less than half the time,43,Never,,,,,,
Spend Time Standing,How much does this job require standing?,75,Less than half the time,15,Never,,,,,,
Spend Time Walking and Running,How much does this job require walking and running?,70,Less than half the time,20,Never,,,,,,
"Indoors, Not Environmentally Controlled","How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?",20,Once a month or more but not every week,25,Once a year or more but not every month,50,Never,,,,
"Outdoors, Exposed to Weather","How often does this job require working outdoors, exposed to all weather conditions?",15,Once a month or more but not every week,30,Once a year or more but not every month,50,Never,,,,
Work Schedules,How regular are the work schedules for this job?,38,"Irregular (changes with weather conditions, production demands, or contract duration)",62,"Regular (established routine, set schedule)",,,,,,
"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls","How much does this job require using your hands to handle, control, or feel objects, tools or controls?",24,Less than half the time,67,Never,,,,,,
Very Hot or Cold Temperatures,How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?,40,Once a year or more but not every month,50,Never,,,,,,
"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets","How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?",35,Once a year or more but not every month,55,Never,,,,,,
Deal With Physically Aggressive People,How frequently does this job require the worker to deal with physical aggression of violent individuals?,30,Once a year or more but not every month,60,Never,,,,,,
"Outdoors, Under Cover","How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?",29,Once a year or more but not every month,62,Never,,,,,,
Extremely Bright or Inadequate Lighting,How often does this job require working in extremely bright or inadequate lighting conditions?,29,Once a year or more but not every month,62,Never,,,,,,
"Cramped Work Space, Awkward Positions",How often does this job require working in cramped work spaces that requires getting into awkward positions?,25,Once a year or more but not every month,70,Never,,,,,,
Exposed to Contaminants,"How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?",26,Once a year or more but not every month,68,Never,,,,,,
Exposed to Hazardous Conditions,How often does this job require exposure to hazardous conditions?,32,Once a year or more but not every month,68,Never,,,,,,
Exposed to Hazardous Equipment,How often does this job require exposure to hazardous equipment?,80,Never,,,,,,,,
Exposed to Disease or Infections,How often does this job require exposure to disease/infections?,26,Once a year or more but not every month,74,Never,,,,,,
Spend Time Bending or Twisting the Body,How much does this job require bending or twisting your body?,25,Less than half the time,75,Never,,,,,,
"Spend Time Kneeling, Crouching, Stooping, or Crawling","How much does this job require kneeling, crouching, stooping or crawling?",24,Less than half the time,76,Never,,,,,,
Exposed to High Places,How often does this job require exposure to high places?,20,Once a year or more but not every month,80,Never,,,,,,
In an Open Vehicle or Equipment,"How often does this job require working in an open vehicle or equipment (e.g., tractor)?",85,Never,,,,,,,,
"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection","How much does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?",19,Once a year or more but not every month,81,Never,,,,,,
