O*NET-SOC Code,O*NET-SOC Title,Relatedness Tier
11-2011.00,Advertising and Promotions Managers,Primary-Short
41-3011.00,Advertising Sales Agents,Primary-Long
15-2051.01,Business Intelligence Analysts,Primary-Short
15-2051.00,Data Scientists,Primary-Long
13-2051.00,Financial and Investment Analysts,Primary-Long
13-1111.00,Management Analysts,Primary-Short
11-2021.00,Marketing Managers,Primary-Short
11-2032.00,Public Relations Managers,Primary-Long
11-2022.00,Sales Managers,Primary-Long
13-1161.01,Search Marketing Strategists,Primary-Short
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Supplemental
27-3031.00,Public Relations Specialists,Supplemental
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Supplemental
19-3022.00,Survey Researchers,Supplemental
13-2054.00,Financial Risk Specialists,Supplemental
25-1011.00,"Business Teachers, Postsecondary",Supplemental
13-2052.00,Personal Financial Advisors,Supplemental
13-1199.06,Online Merchants,Supplemental
13-2099.01,Financial Quantitative Analysts,Supplemental
15-1299.09,Information Technology Project Managers,Supplemental
