Importance,Category,Task
90,Core,"Prepare reports of findings, illustrating data graphically and translating complex findings into written text."
84,Core,"Collect and analyze data on customer demographics, preferences, needs, and buying habits to identify potential markets and factors affecting product demand."
84,Core,"Conduct research on consumer opinions and marketing strategies, collaborating with marketing professionals, statisticians, pollsters, and other professionals."
83,Core,Measure and assess customer and employee satisfaction.
82,Core,"Devise and evaluate methods and procedures for collecting data, such as surveys, opinion polls, or questionnaires, or arrange to obtain existing data."
78,Core,"Measure the effectiveness of marketing, advertising, and communications programs and strategies."
74,Core,Seek and provide information to help companies determine their position in the marketplace.
74,Core,"Forecast and track marketing and sales trends, analyzing collected data."
74,Core,"Gather data on competitors and analyze their prices, sales, and method of marketing and distribution."
69,Core,Monitor industry statistics and follow trends in trade literature.
66,Core,"Attend staff conferences to provide management with information and proposals concerning the promotion, distribution, design, and pricing of company products or services."
62,Core,Direct trained survey interviewers.
52,Core,Develop and implement procedures for identifying advertising needs.
