Section,Category,Example
Technology,Analytical or scientific software,IBM SPSS Statistics
Technology,Analytical or scientific software,Minitab
Technology,Analytical or scientific software,Sawtooth Composite Product Mapping CPM
Technology,Analytical or scientific software,The MathWorks MATLAB
Technology,Business intelligence and data analysis software,IBM Cognos Impromptu
Technology,Business intelligence and data analysis software,MicroStrategy
Technology,Business intelligence and data analysis software,Qlik Tech QlikView
Technology,Business intelligence and data analysis software,Tableau
Technology,Categorization or classification software,Map Maker
Technology,Cloud-based data access and sharing software,Dropbox
Technology,Cloud-based data access and sharing software,Google Drive
Technology,Cloud-based data access and sharing software,Microsoft SharePoint
Technology,Cloud-based data access and sharing software,Slack
Technology,Content workflow software,"Adxstudio, for Microsoft"
Technology,Customer relationship management CRM software,Blackbaud The Raiser's Edge
Technology,Customer relationship management CRM software,Insightful Corporation Confirmit
Technology,Customer relationship management CRM software,Oracle Eloqua
Technology,Customer relationship management CRM software,Salesforce software
Technology,Data base management system software,Apache Hadoop
Technology,Data base management system software,Apache Hive
Technology,Data base management system software,Apache Pig
Technology,Data base management system software,Teradata Database
Technology,Data base reporting software,SAP Crystal Reports
Technology,Data base user interface and query software,Airtable
Technology,Data base user interface and query software,Amazon Redshift
Technology,Data base user interface and query software,Microsoft SQL Server
Technology,Data base user interface and query software,Structured query language SQL
Technology,Data mining software,Google Analytics
Technology,Data mining software,IBM Intelligent Miner
Technology,Data mining software,NCR Teradata Warehouse Miner
Technology,Data mining software,Oracle Darwin
Technology,Desktop publishing software,Adobe Systems Adobe InDesign
Technology,Desktop publishing software,LogiXML Ad-HOC
Technology,Desktop publishing software,Microsoft Publisher
Technology,Desktop publishing software,Sawtooth SSI Web
Technology,Development environment software,Adobe Systems Adobe ActionScript
Technology,Development environment software,Microsoft Visual Basic
Technology,Development environment software,Microsoft Visual Basic for Applications VBA
Technology,Document management software,Adobe Systems Adobe Acrobat
Technology,Electronic mail software,IBM Notes
Technology,Electronic mail software,Microsoft Outlook
Technology,Enterprise resource planning ERP software,Aprimo Marketing
Technology,Enterprise resource planning ERP software,Microsoft Dynamics
Technology,Enterprise resource planning ERP software,Oracle PeopleSoft
Technology,Enterprise resource planning ERP software,SAP software
Technology,Expert system software,Digivey software (expert system feature)
Technology,Financial analysis software,Delphi Technology
Technology,Financial analysis software,Financial planning software
Technology,Geographic information system,ESRI ArcGIS software
Technology,Graphics or photo imaging software,Adobe Systems Adobe Creative Cloud software
Technology,Graphics or photo imaging software,Adobe Systems Adobe Illustrator
Technology,Graphics or photo imaging software,Adobe Systems Adobe Photoshop
Technology,Graphics or photo imaging software,SmugMug Flickr
Technology,Information retrieval or search software,Factiva
Technology,Information retrieval or search software,LexisNexis
Technology,Information retrieval or search software,Mintel Reports
Technology,Information retrieval or search software,Verispan Patient Parameters
Technology,Instant messaging software,GroupMe
Technology,Internet browser software,Web browser software
Technology,Network conferencing software,LogMeIn GoToWebinar
Technology,Object or component oriented development software,R
Technology,Office suite software,Microsoft Office software
Technology,Operating system software,Apple macOS
Technology,Operating system software,Red Hat Enterprise Linux
Technology,Point of sale POS software,Digivey software (point of sale feature)
Technology,Presentation software,Apple Keynote
Technology,Presentation software,Google Slides
Technology,Presentation software,Microsoft PowerPoint
Technology,Process mapping and design software,Microsoft Visio
Technology,Project management software,Basecamp
Technology,Project management software,ClassApps SelectSurveyASP
Technology,Project management software,Microsoft Project
Technology,Project management software,Perseus SurveySolutions
Technology,Sales and marketing software,Google Ads
Technology,Sales and marketing software,HubSpot software
Technology,Sales and marketing software,Marketo Marketing Automation
Technology,Spreadsheet software,Microsoft Excel
Technology,Transaction security and virus protection software,NortonLifeLock cybersecurity software
Technology,Video conferencing software,LogMeIn GoToMeeting
Technology,Video conferencing software,Zoom
Technology,Video creation and editing software,Adobe Systems Adobe After Effects
Technology,Video creation and editing software,Loom
Technology,Video creation and editing software,WeVideo
Technology,Video creation and editing software,YouTube
Technology,Web page creation and editing software,Adobe Systems Adobe Dreamweaver
Technology,Web page creation and editing software,Facebook
Technology,Web page creation and editing software,LinkedIn
Technology,Web page creation and editing software,WordPress
Technology,Web platform development software,Cascading style sheets CSS
Technology,Web platform development software,Drupal
Technology,Web platform development software,Hypertext markup language HTML
Technology,Web platform development software,PHP
Technology,Word processing software,3M Post-it App
Technology,Word processing software,Evernote
Technology,Word processing software,Google Docs
Technology,Word processing software,Microsoft Word
