Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
Electronic Mail,How often do you use electronic mail in this job?,100,Every day,,,,,,,,
Spend Time Sitting,How much does this job require sitting?,65,Continually or almost continually,35,More than half the time,,,,,,
Telephone,How often do you have telephone conversations in this job?,70,Every day,22,Once a week or more but not every day,,,,,,
Freedom to Make Decisions,"How much decision making freedom, without supervision, does the job offer?",57,A lot of freedom,39,Some freedom,,,,,,
Importance of Being Exact or Accurate,How important is being very exact or highly accurate in performing this job?,57,Extremely important,35,Very important,,,,,,
Duration of Typical Work Week,Number of hours typically worked in one week.,70,More than 40 hours,26,40 hours,,,,,,
Structured versus Unstructured Work,"To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?",43,A lot of freedom,43,Some freedom,,,,,,
Contact With Others,"How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?",43,Constant contact with others,35,Contact with others most of the time,22,Contact with others about half the time,,,,
Face-to-Face Discussions,How often do you have to have face-to-face discussions with individuals or teams in this job?,52,Every day,30,Once a week or more but not every day,13,Once a year or more but not every month,,,,
"Indoors, Environmentally Controlled",How often does this job require working indoors in environmentally controlled conditions?,61,Every day,17,Once a week or more but not every day,13,Never,,,,
Time Pressure,How often does this job require the worker to meet strict deadlines?,30,Every day,43,Once a week or more but not every day,26,Once a month or more but not every week,,,,
Work With Work Group or Team,How important is it to work with others in a group or team in this job?,35,Extremely important,43,Very important,13,Important,,,,
Letters and Memos,How often does the job require written letters and memos?,39,Every day,26,Once a week or more but not every day,22,Once a month or more but not every week,,,,
Impact of Decisions on Co-workers or Company Results,What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?,22,Very important results,39,Important results,22,Moderate results,13,Minor results,,
Deal With External Customers,How important is it to work with external customers or the public in this job?,30,Extremely important,30,Very important,13,Important,17,Fairly important,,
Coordinate or Lead Others,How important is it to coordinate or lead others in accomplishing work activities in this job?,22,Extremely important,35,Very important,17,Important,26,Fairly important,,
Frequency of Decision Making,"How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?",14,Every day,32,Once a week or more but not every day,36,Once a month or more but not every week,,,,
Level of Competition,To what extent does this job require the worker to compete or to be aware of competitive pressures?,17,Extremely competitive,22,Highly competitive,35,Moderately competitive,26,Slightly competitive,,
Responsibility for Outcomes and Results,How responsible is the worker for work outcomes and results of other workers?,13,Very high responsibility,30,High responsibility,22,Moderate responsibility,35,Limited responsibility,,
Importance of Repeating Same Tasks,"How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?",17,Extremely important,17,Very important,26,Important,22,Fairly important,17,Not important at all
Frequency of Conflict Situations,How often are there conflict situations the employee has to face in this job?,43,Once a month or more but not every week,35,Once a year or more but not every month,,,,,,
Public Speaking,How often do you have to perform public speaking in this job?,17,Once a week or more but not every day,39,Once a month or more but not every week,35,Once a year or more but not every month,,,,
Deal With Unpleasant or Angry People,"How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?",35,Once a month or more but not every week,35,Once a year or more but not every month,17,Never,,,,
Consequence of Error,How serious would the result usually be if the worker made a mistake that was not readily correctable?,23,Very serious,18,Serious,23,Fairly serious,32,Not serious at all,,
Physical Proximity,To what extent does this job require the worker to perform job tasks in close physical proximity to other people?,13,Moderately close (at arm's length),35,"Slightly close (e.g., shared office)",35,"I work with others but not closely (e.g., private office)",17,I don't work near other people (beyond 100 ft.),,
