O*NET-SOC Code,O*NET-SOC Title,Relatedness Tier
19-2011.00,Astronomers,Primary-Long
19-1029.01,Bioinformatics Scientists,Primary-Short
15-2099.01,Bioinformatics Technicians,Primary-Long
15-2041.01,Biostatisticians,Primary-Long
15-1221.00,Computer and Information Research Scientists,Primary-Short
15-2051.00,Data Scientists,Primary-Short
25-1022.00,"Mathematical Science Teachers, Postsecondary",Primary-Long
15-2031.00,Operations Research Analysts,Primary-Long
19-2012.00,Physicists,Primary-Short
15-2041.00,Statisticians,Primary-Short
19-1021.00,Biochemists and Biophysicists,Supplemental
13-2099.01,Financial Quantitative Analysts,Supplemental
15-1252.00,Software Developers,Supplemental
25-1054.00,"Physics Teachers, Postsecondary",Supplemental
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",Supplemental
43-9111.00,Statistical Assistants,Supplemental
19-1029.03,Geneticists,Supplemental
19-1029.02,Molecular and Cellular Biologists,Supplemental
17-2031.00,Bioengineers and Biomedical Engineers,Supplemental
17-2199.09,Nanosystems Engineers,Supplemental
