Importance,Category,Task
85,Core,"Address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols."
81,Core,"Disseminate research by writing reports, publishing papers, or presenting at professional conferences."
80,Core,"Maintain knowledge in the field by reading professional journals, talking with other mathematicians, and attending professional conferences."
79,Core,"Apply mathematical theories and techniques to the solution of practical problems in business, engineering, the sciences, or other fields."
75,Core,"Conduct research to extend mathematical knowledge in traditional areas, such as algebra, geometry, probability, and logic."
75,Core,Develop mathematical or statistical models of phenomena to be used for analysis or for computational simulation.
71,Core,Perform computations and apply methods of numerical analysis to data.
71,Core,"Assemble sets of assumptions, and explore the consequences of each set."
68,Core,Develop new principles and new relationships between existing mathematical principles to advance mathematical science.
68,Core,Develop computational methods for solving problems that occur in areas of science and engineering or that come from applications in business or industry.
44,Supplemental,"Design, analyze, and decipher encryption systems designed to transmit military, political, financial, or law-enforcement-related information in code."
