Section,Category,Example
Technology,Analytical or scientific software,IBM SPSS Statistics
Technology,Analytical or scientific software,Minitab
Technology,Analytical or scientific software,SAS
Technology,Analytical or scientific software,The MathWorks MATLAB
Technology,Business intelligence and data analysis software,Tableau
Technology,Customer relationship management CRM software,Salesforce software
Technology,Data base management system software,MySQL
Technology,Data base user interface and query software,Microsoft Access
Technology,Data base user interface and query software,Structured query language SQL
Technology,Desktop publishing software,MicroPress VTeX
Technology,Development environment software,C
Technology,Development environment software,Formula translation/translator FORTRAN
Technology,Development environment software,Microsoft Visual Basic
Technology,Development environment software,Microsoft Visual Studio
Technology,Electronic mail software,Microsoft Outlook
Technology,Enterprise application integration software,Extensible markup language XML
Technology,Graphics or photo imaging software,Adobe Systems Adobe Photoshop
Technology,Internet browser software,Web browser software
Technology,Network security or virtual private network VPN management software,Vormetric Application Encryption
Technology,Object or component oriented development software,C#
Technology,Object or component oriented development software,Oracle Java
Technology,Object or component oriented development software,Perl
Technology,Object or component oriented development software,R
Technology,Office suite software,Microsoft Office software
Technology,Operating system software,Apple macOS
Technology,Operating system software,Bash
Technology,Operating system software,Linux
Technology,Operating system software,UNIX
Technology,Presentation software,Microsoft PowerPoint
Technology,Program testing software,User interface design software
Technology,Spreadsheet software,Microsoft Excel
Technology,Transaction server software,Web server software
Technology,Web platform development software,Cascading style sheets CSS
Technology,Web platform development software,Hypertext markup language HTML
Technology,Web platform development software,JavaScript
Technology,Web platform development software,PHP
Technology,Word processing software,Microsoft Word
