Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
Electronic Mail,How often do you use electronic mail in this job?,92,Every day,,,,,,,,
Importance of Being Exact or Accurate,How important is being very exact or highly accurate in performing this job?,79,Extremely important,13,Very important,,,,,,
Duration of Typical Work Week,Number of hours typically worked in one week.,78,More than 40 hours,22,40 hours,,,,,,
Structured versus Unstructured Work,"To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?",58,A lot of freedom,38,Some freedom,,,,,,
Freedom to Make Decisions,"How much decision making freedom, without supervision, does the job offer?",48,A lot of freedom,48,Some freedom,,,,,,
Face-to-Face Discussions,How often do you have to have face-to-face discussions with individuals or teams in this job?,35,Every day,57,Once a week or more but not every day,,,,,,
Spend Time Sitting,How much does this job require sitting?,42,Continually or almost continually,42,More than half the time,17,About half the time,,,,
"Indoors, Environmentally Controlled",How often does this job require working indoors in environmentally controlled conditions?,63,Every day,13,Once a week or more but not every day,21,Never,,,,
Telephone,How often do you have telephone conversations in this job?,26,Every day,35,Once a week or more but not every day,26,Once a month or more but not every week,,,,
Contact With Others,"How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?",21,Constant contact with others,38,Contact with others most of the time,25,Contact with others about half the time,17,Occasional contact with others,,
Work With Work Group or Team,How important is it to work with others in a group or team in this job?,17,Extremely important,42,Very important,25,Important,17,Fairly important,,
Level of Competition,To what extent does this job require the worker to compete or to be aware of competitive pressures?,13,Extremely competitive,38,Highly competitive,38,Moderately competitive,,,,
Impact of Decisions on Co-workers or Company Results,What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?,33,Important results,29,Moderate results,21,Minor results,13,No results,,
Coordinate or Lead Others,How important is it to coordinate or lead others in accomplishing work activities in this job?,26,Very important,48,Important,17,Fairly important,,,,
Time Pressure,How often does this job require the worker to meet strict deadlines?,21,Once a week or more but not every day,50,Once a month or more but not every week,29,Once a year or more but not every month,,,,
Public Speaking,How often do you have to perform public speaking in this job?,21,Once a week or more but not every day,25,Once a month or more but not every week,50,Once a year or more but not every month,,,,
Responsibility for Outcomes and Results,How responsible is the worker for work outcomes and results of other workers?,13,High responsibility,29,Moderate responsibility,42,Limited responsibility,,,,
Letters and Memos,How often does the job require written letters and memos?,27,Once a week or more but not every day,23,Once a month or more but not every week,36,Once a year or more but not every month,14,Never,,
Frequency of Decision Making,"How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?",22,Once a month or more but not every week,52,Once a year or more but not every month,,,,,,
Importance of Repeating Same Tasks,"How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?",25,Very important,13,Important,17,Fairly important,38,Not important at all,,
Consequence of Error,How serious would the result usually be if the worker made a mistake that was not readily correctable?,17,Extremely serious,17,Very serious,17,Fairly serious,46,Not serious at all,,
Physical Proximity,To what extent does this job require the worker to perform job tasks in close physical proximity to other people?,26,"Slightly close (e.g., shared office)",70,"I work with others but not closely (e.g., private office)",,,,,,
Deal With External Customers,How important is it to work with external customers or the public in this job?,25,Important,13,Fairly important,46,Not important at all,,,,
Spend Time Standing,How much does this job require standing?,22,About half the time,65,Less than half the time,13,Never,,,,
Frequency of Conflict Situations,How often are there conflict situations the employee has to face in this job?,17,Once a month or more but not every week,71,Once a year or more but not every month,13,Never,,,,
Deal With Unpleasant or Angry People,"How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?",17,Once a month or more but not every week,52,Once a year or more but not every month,30,Never,,,,
"Sounds, Noise Levels Are Distracting or Uncomfortable",How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?,17,Once a month or more but not every week,22,Once a year or more but not every month,52,Never,,,,
Spend Time Making Repetitive Motions,How much does this job require making repetitive motions?,17,More than half the time,13,About half the time,67,Never,,,,
Responsible for Others' Health and Safety,How much responsibility is there for the health and safety of others in this job?,21,Limited responsibility,63,No responsibility,,,,,,
"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls","How much does this job require using your hands to handle, control, or feel objects, tools or controls?",13,Continually or almost continually,83,Never,,,,,,
Degree of Automation,How automated is the job?,42,Slightly automated,54,Not at all automated,,,,,,
Spend Time Walking and Running,How much does this job require walking and running?,50,Less than half the time,50,Never,,,,,,
Work Schedules,How regular are the work schedules for this job?,17,"Irregular (changes with weather conditions, production demands, or contract duration)",83,"Regular (established routine, set schedule)",,,,,,
Pace Determined by Speed of Equipment,How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.),83,Not important at all,,,,,,,,
"Indoors, Not Environmentally Controlled","How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?",88,Never,,,,,,,,
"Outdoors, Exposed to Weather","How often does this job require working outdoors, exposed to all weather conditions?",88,Never,,,,,,,,
"Cramped Work Space, Awkward Positions",How often does this job require working in cramped work spaces that requires getting into awkward positions?,92,Never,,,,,,,,
Exposed to Hazardous Equipment,How often does this job require exposure to hazardous equipment?,92,Never,,,,,,,,
Extremely Bright or Inadequate Lighting,How often does this job require working in extremely bright or inadequate lighting conditions?,92,Never,,,,,,,,
"Outdoors, Under Cover","How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?",92,Never,,,,,,,,
Very Hot or Cold Temperatures,How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?,13,Once a year or more but not every month,88,Never,,,,,,
"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets","How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?",92,Never,,,,,,,,
Deal With Physically Aggressive People,How frequently does this job require the worker to deal with physical aggression of violent individuals?,92,Never,,,,,,,,
Exposed to Contaminants,"How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?",92,Never,,,,,,,,
Exposed to Disease or Infections,How often does this job require exposure to disease/infections?,92,Never,,,,,,,,
Exposed to Hazardous Conditions,How often does this job require exposure to hazardous conditions?,96,Never,,,,,,,,
"Exposed to Minor Burns, Cuts, Bites, or Stings","How often does this job require exposure to minor burns, cuts, bites, or stings?",92,Never,,,,,,,,
"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection","How much does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?",96,Never,,,,,,,,
In an Enclosed Vehicle or Equipment,"How often does this job require working in a closed vehicle or equipment (e.g., car)?",96,Never,,,,,,,,
Spend Time Bending or Twisting the Body,How much does this job require bending or twisting your body?,96,Never,,,,,,,,
"Spend Time Kneeling, Crouching, Stooping, or Crawling","How much does this job require kneeling, crouching, stooping or crawling?",96,Never,,,,,,,,
Exposed to High Places,How often does this job require exposure to high places?,100,Never,,,,,,,,
Exposed to Radiation,How often does this job require exposure to radiation?,100,Never,,,,,,,,
Exposed to Whole Body Vibration,"How often does this job require exposure to whole body vibration (e.g., operate a jackhammer)?",100,Never,,,,,,,,
In an Open Vehicle or Equipment,"How often does this job require working in an open vehicle or equipment (e.g., tractor)?",100,Never,,,,,,,,
"Spend Time Climbing Ladders, Scaffolds, or Poles","How much does this job require climbing ladders, scaffolds, or poles?",100,Never,,,,,,,,
Spend Time Keeping or Regaining Balance,How much does this job require keeping or regaining your balance?,100,Never,,,,,,,,
