O*NET-SOC Code,O*NET-SOC Title,Relatedness Tier
15-2051.01,Business Intelligence Analysts,Primary-Short
15-1221.00,Computer and Information Research Scientists,Primary-Long
15-1211.00,Computer Systems Analysts,Primary-Short
15-1299.08,Computer Systems Engineers/Architects,Primary-Long
15-2051.00,Data Scientists,Primary-Short
15-1243.00,Database Architects,Primary-Long
13-1111.00,Management Analysts,Primary-Short
15-2021.00,Mathematicians,Primary-Long
15-1252.00,Software Developers,Primary-Short
15-2041.00,Statisticians,Primary-Long
13-2099.01,Financial Quantitative Analysts,Supplemental
13-1082.00,Project Management Specialists,Supplemental
17-2112.00,Industrial Engineers,Supplemental
13-1081.01,Logistics Engineers,Supplemental
29-9021.00,Health Information Technologists and Medical Registrars,Supplemental
43-9111.00,Statistical Assistants,Supplemental
15-1253.00,Software Quality Assurance Analysts and Testers,Supplemental
15-1299.09,Information Technology Project Managers,Supplemental
15-1299.05,Information Security Engineers,Supplemental
13-2054.00,Financial Risk Specialists,Supplemental
