Importance,Category,Task
89,Core,"Formulate mathematical or simulation models of problems, relating constants and variables, restrictions, alternatives, conflicting objectives, and their numerical parameters."
86,Core,"Perform validation and testing of models to ensure adequacy, and reformulate models, as necessary."
85,Core,Collaborate with senior managers and decision makers to identify and solve a variety of problems and to clarify management objectives.
84,Core,Present the results of mathematical modeling and data analysis to management or other end users.
81,Core,Collaborate with others in the organization to ensure successful implementation of chosen problem solutions.
76,Core,Analyze information obtained from management to conceptualize and define operational problems.
75,Core,Study and analyze information about alternative courses of action to determine which plan will offer the best outcomes.
71,Core,Prepare management reports defining and evaluating problems and recommending solutions.
71,Core,"Define data requirements, and gather and validate information, applying judgment and statistical tests."
66,Core,"Observe the current system in operation, and gather and analyze information about each of the component problems, using a variety of sources."
66,Core,"Break systems into their components, assign numerical values to each component, and examine the mathematical relationships between them."
63,Core,"Design, conduct, and evaluate experimental operational models in cases where models cannot be developed from existing data."
61,Core,Educate staff in the use of mathematical models.
58,Core,Specify manipulative or computational methods to be applied to models.
53,Core,"Develop and apply time and cost networks to plan, control, and review large projects."
47,Supplemental,"Develop business methods and procedures, including accounting systems, file systems, office systems, logistics systems, and production schedules."
