Section,Category,Example
Technology,Access software,Citrix cloud computing software
Technology,Accounting software,Fund accounting software
Technology,Analytical or scientific software,IBM SPSS Statistics
Technology,Analytical or scientific software,ILOG OPL-CPLEX Development System
Technology,Analytical or scientific software,Minitab
Technology,Analytical or scientific software,The MathWorks MATLAB
Technology,Application server software,GitHub
Technology,Backup or archival software,Veritas NetBackup
Technology,Business intelligence and data analysis software,IBM Cognos Impromptu
Technology,Business intelligence and data analysis software,MicroStrategy
Technology,Business intelligence and data analysis software,Qlik Tech QlikView
Technology,Business intelligence and data analysis software,Tableau
Technology,Cloud-based data access and sharing software,Google Drive
Technology,Cloud-based data access and sharing software,Microsoft SharePoint
Technology,Cloud-based management software,Splunk Enterprise
Technology,Communications server software,IBM Domino
Technology,Computer aided design CAD software,Dassault Systemes CATIA
Technology,Computer aided design CAD software,Mathsoft Mathcad
Technology,Customer relationship management CRM software,Blackbaud The Raiser's Edge
Technology,Customer relationship management CRM software,Oracle Eloqua
Technology,Customer relationship management CRM software,Salesforce software
Technology,Data base management system software,Apache Hadoop
Technology,Data base management system software,Apache Hive
Technology,Data base management system software,Apache Pig
Technology,Data base management system software,Teradata Database
Technology,Data base reporting software,Microsoft SQL Server Reporting Services SSRS
Technology,Data base reporting software,SAP Crystal Reports
Technology,Data base reporting software,Strategic Reporting Systems ReportSmith
Technology,Data base user interface and query software,Amazon Redshift
Technology,Data base user interface and query software,Microsoft Access
Technology,Data base user interface and query software,Microsoft SQL Server
Technology,Data base user interface and query software,Structured query language SQL
Technology,Desktop communications software,Eko
Technology,Development environment software,C
Technology,Development environment software,Microsoft Visual Basic
Technology,Development environment software,Microsoft Visual Basic for Applications VBA
Technology,Development environment software,National Instruments LabVIEW
Technology,Electronic mail software,IBM Notes
Technology,Electronic mail software,Microsoft Exchange
Technology,Enterprise application integration software,Extensible markup language XML
Technology,Enterprise resource planning ERP software,Microsoft Dynamics
Technology,Enterprise resource planning ERP software,Oracle PeopleSoft
Technology,Enterprise resource planning ERP software,SAP Business Objects
Technology,Enterprise resource planning ERP software,SAP software
Technology,Enterprise system management software,IBM Power Systems software
Technology,Financial analysis software,Business Forecast Systems Forecast Pro
Technology,Financial analysis software,Oracle E-Business Suite Financials
Technology,Geographic information system,ESRI ArcExplorer
Technology,Geographic information system,ESRI ArcGIS software
Technology,Geographic information system,Geographic information system GIS software
Technology,Human resources software,Human resource management software HRMS
Technology,Human resources software,Oracle Taleo
Technology,Information retrieval or search software,LexisNexis
Technology,Map creation software,Microsoft MapPoint
Technology,Network monitoring software,Wireshark
Technology,Object or component oriented development software,Perl
Technology,Object or component oriented development software,R
Technology,Object or component oriented development software,Scala
Technology,Object or component oriented development software,Swift
Technology,Office suite software,Microsoft Office software
Technology,Operating system software,Apple macOS
Technology,Operating system software,Bash
Technology,Operating system software,Shell script
Technology,Operating system software,UNIX Shell
Technology,Presentation software,Google Slides
Technology,Presentation software,Microsoft PowerPoint
Technology,Process mapping and design software,Microsoft Visio
Technology,Process mapping and design software,ProModel
Technology,Project management software,Microsoft Project
Technology,Risk management data and analysis software,iGrafx
Technology,Sales and marketing software,Marketo Marketing Automation
Technology,Spreadsheet software,Microsoft Excel
Technology,Transaction security and virus protection software,McAfee
Technology,Word processing software,Google Docs
Technology,Word processing software,Microsoft Word
