Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
Electronic Mail,How often do you use electronic mail in this job?,100,Every day,,,,,,,,
"Indoors, Environmentally Controlled",How often does this job require working indoors in environmentally controlled conditions?,100,Every day,,,,,,,,
Freedom to Make Decisions,"How much decision making freedom, without supervision, does the job offer?",75,A lot of freedom,25,Some freedom,,,,,,
Spend Time Sitting,How much does this job require sitting?,63,Continually or almost continually,37,More than half the time,,,,,,
Face-to-Face Discussions,How often do you have to have face-to-face discussions with individuals or teams in this job?,65,Every day,30,Once a week or more but not every day,,,,,,
Structured versus Unstructured Work,"To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?",55,A lot of freedom,45,Some freedom,,,,,,
Duration of Typical Work Week,Number of hours typically worked in one week.,74,More than 40 hours,26,40 hours,,,,,,
Telephone,How often do you have telephone conversations in this job?,60,Every day,35,Once a week or more but not every day,,,,,,
Importance of Being Exact or Accurate,How important is being very exact or highly accurate in performing this job?,50,Extremely important,35,Very important,15,Important,,,,
Work With Work Group or Team,How important is it to work with others in a group or team in this job?,45,Extremely important,40,Very important,15,Important,,,,
Impact of Decisions on Co-workers or Company Results,What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?,40,Very important results,40,Important results,15,Moderate results,,,,
Contact With Others,"How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?",11,Constant contact with others,53,Contact with others most of the time,32,Contact with others about half the time,,,,
Frequency of Decision Making,"How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?",25,Every day,20,Once a week or more but not every day,25,Once a month or more but not every week,30,Once a year or more but not every month,,
Time Pressure,How often does this job require the worker to meet strict deadlines?,20,Once a week or more but not every day,60,Once a month or more but not every week,,,,,,
Coordinate or Lead Others,How important is it to coordinate or lead others in accomplishing work activities in this job?,25,Very important,45,Important,20,Fairly important,,,,
Level of Competition,To what extent does this job require the worker to compete or to be aware of competitive pressures?,50,Highly competitive,30,Moderately competitive,15,Slightly competitive,,,,
Letters and Memos,How often does the job require written letters and memos?,21,Every day,16,Once a week or more but not every day,37,Once a month or more but not every week,16,Once a year or more but not every month,11,Never
Responsibility for Outcomes and Results,How responsible is the worker for work outcomes and results of other workers?,25,High responsibility,25,Moderate responsibility,45,Limited responsibility,,,,
Spend Time Making Repetitive Motions,How much does this job require making repetitive motions?,20,Continually or almost continually,20,More than half the time,20,About half the time,30,Never,,
Physical Proximity,To what extent does this job require the worker to perform job tasks in close physical proximity to other people?,55,"Slightly close (e.g., shared office)",40,"I work with others but not closely (e.g., private office)",,,,,,
Public Speaking,How often do you have to perform public speaking in this job?,50,Once a month or more but not every week,45,Once a year or more but not every month,,,,,,
Deal With External Customers,How important is it to work with external customers or the public in this job?,15,Very important,20,Important,25,Fairly important,30,Not important at all,,
Frequency of Conflict Situations,How often are there conflict situations the employee has to face in this job?,30,Once a month or more but not every week,55,Once a year or more but not every month,,,,,,
Importance of Repeating Same Tasks,"How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?",15,Extremely important,15,Very important,20,Fairly important,40,Not important at all,,
Consequence of Error,How serious would the result usually be if the worker made a mistake that was not readily correctable?,25,Very serious,15,Serious,30,Fairly serious,30,Not serious at all,,
"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls","How much does this job require using your hands to handle, control, or feel objects, tools or controls?",15,Continually or almost continually,20,Less than half the time,55,Never,,,,
Degree of Automation,How automated is the job?,50,Slightly automated,35,Not at all automated,,,,,,
Deal With Unpleasant or Angry People,"How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?",70,Once a year or more but not every month,30,Never,,,,,,
Responsible for Others' Health and Safety,How much responsibility is there for the health and safety of others in this job?,30,Limited responsibility,60,No responsibility,,,,,,
"Sounds, Noise Levels Are Distracting or Uncomfortable",How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?,15,Once a year or more but not every month,65,Never,,,,,,
Spend Time Standing,How much does this job require standing?,60,Less than half the time,40,Never,,,,,,
In an Enclosed Vehicle or Equipment,"How often does this job require working in a closed vehicle or equipment (e.g., car)?",25,Once a year or more but not every month,65,Never,,,,,,
"Indoors, Not Environmentally Controlled","How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?",45,Once a year or more but not every month,55,Never,,,,,,
