O*NET-SOC Code,O*NET-SOC Title,Relatedness Tier
19-2021.00,Atmospheric and Space Scientists,Primary-Long
17-3028.00,Calibration Technologists and Technicians,Primary-Long
17-1021.00,Cartographers and Photogrammetrists,Primary-Long
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,Primary-Short
17-1022.01,Geodetic Surveyors,Primary-Short
15-1299.02,Geographic Information Systems Technologists and Technicians,Primary-Short
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",Primary-Short
19-4099.03,Remote Sensing Technicians,Primary-Short
15-1252.00,Software Developers,Primary-Long
17-3031.00,Surveying and Mapping Technicians,Primary-Long
27-4031.00,"Camera Operators, Television, Video, and Film",Supplemental
17-2072.01,Radio Frequency Identification Device Specialists,Supplemental
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Supplemental
17-2011.00,Aerospace Engineers,Supplemental
19-4012.01,Precision Agriculture Technicians,Supplemental
19-2043.00,Hydrologists,Supplemental
49-2091.00,Avionics Technicians,Supplemental
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Supplemental
15-2051.00,Data Scientists,Supplemental
17-2072.00,"Electronics Engineers, Except Computer",Supplemental
