Section,Category,Example
Technology,Analytical or scientific software,Agisoft Metashape
Technology,Analytical or scientific software,Calibration software
Technology,Analytical or scientific software,Litchi
Technology,Analytical or scientific software,The MathWorks MATLAB
Technology,Application server software,Apache HTTP Server
Technology,Application server software,Docker
Technology,Application server software,GitHub
Technology,Aviation ground support software,ArduPilot Mission Planner
Technology,Business intelligence and data analysis software,Tableau
Technology,Charting software,Aeronautical charts
Technology,Cloud-based management software,Amazon Web Services AWS CloudFormation
Technology,Computer based training software,Learning management system LMS
Technology,Configuration management software,Puppet
Technology,Customer relationship management CRM software,Salesforce software
Technology,Data base management system software,Amazon DynamoDB
Technology,Data base management system software,Apache Hive
Technology,Data base management system software,Elasticsearch
Technology,Data base management system software,Microsoft SQL Server
Technology,Data base user interface and query software,Amazon Elastic Compute Cloud EC2
Technology,Data base user interface and query software,Amazon Redshift
Technology,Data base user interface and query software,Amazon Web Services AWS software
Technology,Data base user interface and query software,Oracle Database
Technology,Development environment software,Apache Kafka
Technology,Development environment software,Go
Technology,Development environment software,Microsoft Azure software
Technology,Development environment software,Ruby
Technology,Electronic mail software,Microsoft Outlook
Technology,Enterprise application integration software,Extensible markup language XML
Technology,Expert system software,Ansible software
Technology,File versioning software,Git
Technology,Geographic information system,ESRI ArcGIS software
Technology,Graphics or photo imaging software,Image processing software
Technology,Graphics or photo imaging software,Microsoft Image Composite Editor
Technology,Internet browser software,Web browser software
Technology,Map creation software,ESRI Site Scan for ArcGIS
Technology,Map creation software,Gamma remote sensing software
Technology,Map creation software,Leica Geosystems ERDAS IMAGINE
Technology,Map creation software,PCI Geomatics Geomatica
Technology,Medical software,Epic Systems
Technology,Medical software,Healthcare common procedure coding system HCPCS
Technology,Mobile location based services software,Global positioning system GPS software
Technology,Object or component oriented development software,C#
Technology,Object or component oriented development software,Objective C
Technology,Object or component oriented development software,Scala
Technology,Object or component oriented development software,Swift
Technology,Object oriented data base management software,PostgreSQL
Technology,Office suite software,Microsoft Office software
Technology,Operating system software,Bash
Technology,Operating system software,Linux
Technology,Operating system software,Microsoft Windows
Technology,Operating system software,UNIX
Technology,Presentation software,Microsoft PowerPoint
Technology,Process mapping and design software,Microsoft Visio
Technology,Program testing software,Selenium
Technology,Project management software,Airdata
Technology,Project management software,Atlassian JIRA
Technology,Project management software,Microsoft Project
Technology,Spreadsheet software,Microsoft Excel
Technology,Storage networking software,Amazon Simple Storage Service S3
Technology,Video creation and editing software,YouTube
Technology,Web platform development software,JavaScript
Technology,Web platform development software,JavaScript Object Notation JSON
Technology,Web platform development software,Node.js
Technology,Web platform development software,Ruby on Rails
Technology,Word processing software,Microsoft Word
