Section,Category,Example
Tools,Aerial cameras,Airborne imaging systems
Tools,Aerial cameras,Spaceborne imaging systems
Tools,Aircraft guidance systems,DJI GS Pro
Tools,Aircraft guidance systems,DroneDeploy
Tools,Aircraft guidance systems,DroneLogbook
Tools,Aircraft guidance systems,Landing pad
Tools,Airships,Fixed wing unmanned aerial vehicles UAV
Tools,Airships,Multi-rotor unmanned aerial vehicles UAV
Tools,Anemometers,
Tools,Area lighting,Airfield lighting equipment
Tools,Desktop computers,
Tools,Frequency analyzers,Spectrum analyzers
Tools,Gas generators,Power generators
Tools,Global positioning system GPS receiver,Global positioning system GPS devices
Tools,Infrared imagers,Thermal imaging systems
Tools,Infrared spectrometers,Multispectral imaging equipment
Tools,Landing gear assemblies,Ground control targets
Tools,Mainframe computers,
Tools,Multimeters,
Tools,Personal computers,
Tools,Radarbased surveillance systems,Doppler Rayleigh laser imaging ranging and detecting LIDAR systems
Tools,Radarbased surveillance systems,Synthetic aperture radar SAR
Tools,Spectrographs,Hyperspectral imaging equipment
Tools,Spectrographs,Spectral imaging systems
Tools,Tablet computers,
Tools,Two way radios,
