Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
Electronic Mail,How often do you use electronic mail in this job?,86,Every day,11,Once a week or more but not every day,,,,,,
"Indoors, Environmentally Controlled",How often does this job require working indoors in environmentally controlled conditions?,78,Every day,11,Once a week or more but not every day,,,,,,
Spend Time Sitting,How much does this job require sitting?,50,Continually or almost continually,43,More than half the time,,,,,,
Face-to-Face Discussions,How often do you have to have face-to-face discussions with individuals or teams in this job?,46,Every day,39,Once a week or more but not every day,11,Once a month or more but not every week,,,,
Freedom to Make Decisions,"How much decision making freedom, without supervision, does the job offer?",43,A lot of freedom,39,Some freedom,18,Limited freedom,,,,
Importance of Being Exact or Accurate,How important is being very exact or highly accurate in performing this job?,43,Extremely important,39,Very important,14,Important,,,,
Work With Work Group or Team,How important is it to work with others in a group or team in this job?,18,Extremely important,61,Very important,21,Important,,,,
Duration of Typical Work Week,Number of hours typically worked in one week.,46,More than 40 hours,54,40 hours,,,,,,
Telephone,How often do you have telephone conversations in this job?,21,Every day,54,Once a week or more but not every day,21,Once a month or more but not every week,,,,
Structured versus Unstructured Work,"To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?",18,A lot of freedom,54,Some freedom,29,Limited freedom,,,,
Contact With Others,"How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?",18,Constant contact with others,43,Contact with others most of the time,32,Contact with others about half the time,,,,
Letters and Memos,How often does the job require written letters and memos?,39,Once a week or more but not every day,36,Once a month or more but not every week,18,Once a year or more but not every month,,,,
Level of Competition,To what extent does this job require the worker to compete or to be aware of competitive pressures?,43,Highly competitive,39,Moderately competitive,14,Slightly competitive,,,,
Time Pressure,How often does this job require the worker to meet strict deadlines?,36,Once a week or more but not every day,39,Once a month or more but not every week,21,Once a year or more but not every month,,,,
Coordinate or Lead Others,How important is it to coordinate or lead others in accomplishing work activities in this job?,36,Very important,21,Important,32,Fairly important,,,,
Impact of Decisions on Co-workers or Company Results,What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?,22,Important results,26,Moderate results,37,Minor results,,,,
Frequency of Decision Making,"How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?",19,Every day,26,Once a month or more but not every week,44,Once a year or more but not every month,,,,
Public Speaking,How often do you have to perform public speaking in this job?,18,Once a week or more but not every day,21,Once a month or more but not every week,50,Once a year or more but not every month,,,,
Responsibility for Outcomes and Results,How responsible is the worker for work outcomes and results of other workers?,14,High responsibility,46,Moderate responsibility,39,Limited responsibility,,,,
Degree of Automation,How automated is the job?,21,Highly automated,36,Moderately automated,36,Slightly automated,,,,
Importance of Repeating Same Tasks,"How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?",18,Extremely important,18,Very important,14,Important,18,Fairly important,32,Not important at all
Deal With External Customers,How important is it to work with external customers or the public in this job?,21,Very important,61,Fairly important,,,,,,
Physical Proximity,To what extent does this job require the worker to perform job tasks in close physical proximity to other people?,44,"Slightly close (e.g., shared office)",48,"I work with others but not closely (e.g., private office)",,,,,,
"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls","How much does this job require using your hands to handle, control, or feel objects, tools or controls?",25,Continually or almost continually,11,About half the time,32,Less than half the time,32,Never,,
Spend Time Making Repetitive Motions,How much does this job require making repetitive motions?,21,More than half the time,36,Less than half the time,29,Never,,,,
"Outdoors, Exposed to Weather","How often does this job require working outdoors, exposed to all weather conditions?",25,Once a month or more but not every week,68,Once a year or more but not every month,,,,,,
Responsible for Others' Health and Safety,How much responsibility is there for the health and safety of others in this job?,19,Moderate responsibility,44,Limited responsibility,26,No responsibility,,,,
In an Enclosed Vehicle or Equipment,"How often does this job require working in a closed vehicle or equipment (e.g., car)?",29,Once a month or more but not every week,46,Once a year or more but not every month,21,Never,,,,
Consequence of Error,How serious would the result usually be if the worker made a mistake that was not readily correctable?,14,Serious,32,Fairly serious,39,Not serious at all,,,,
Frequency of Conflict Situations,How often are there conflict situations the employee has to face in this job?,71,Once a year or more but not every month,18,Never,,,,,,
Spend Time Standing,How much does this job require standing?,89,Less than half the time,,,,,,,,
"Sounds, Noise Levels Are Distracting or Uncomfortable",How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?,18,Once a month or more but not every week,32,Once a year or more but not every month,43,Never,,,,
Deal With Unpleasant or Angry People,"How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?",11,Once a month or more but not every week,63,Once a year or more but not every month,26,Never,,,,
"Indoors, Not Environmentally Controlled","How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?",11,Once a month or more but not every week,46,Once a year or more but not every month,39,Never,,,,
Very Hot or Cold Temperatures,How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?,71,Once a year or more but not every month,25,Never,,,,,,
Spend Time Walking and Running,How much does this job require walking and running?,64,Less than half the time,36,Never,,,,,,
Work Schedules,How regular are the work schedules for this job?,21,"Irregular (changes with weather conditions, production demands, or contract duration)",75,"Regular (established routine, set schedule)",,,,,,
"Outdoors, Under Cover","How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?",43,Once a year or more but not every month,57,Never,,,,,,
Exposed to Contaminants,"How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?",25,Once a year or more but not every month,68,Never,,,,,,
"Exposed to Minor Burns, Cuts, Bites, or Stings","How often does this job require exposure to minor burns, cuts, bites, or stings?",32,Once a year or more but not every month,64,Never,,,,,,
In an Open Vehicle or Equipment,"How often does this job require working in an open vehicle or equipment (e.g., tractor)?",11,Once a month or more but not every week,18,Once a year or more but not every month,71,Never,,,,
"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets","How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?",25,Once a year or more but not every month,68,Never,,,,,,
Extremely Bright or Inadequate Lighting,How often does this job require working in extremely bright or inadequate lighting conditions?,32,Once a year or more but not every month,68,Never,,,,,,
"Cramped Work Space, Awkward Positions",How often does this job require working in cramped work spaces that requires getting into awkward positions?,21,Once a year or more but not every month,75,Never,,,,,,
Exposed to Hazardous Equipment,How often does this job require exposure to hazardous equipment?,18,Once a year or more but not every month,79,Never,,,,,,
Spend Time Bending or Twisting the Body,How much does this job require bending or twisting your body?,25,Less than half the time,75,Never,,,,,,
"Spend Time Kneeling, Crouching, Stooping, or Crawling","How much does this job require kneeling, crouching, stooping or crawling?",25,Less than half the time,75,Never,,,,,,
Exposed to High Places,How often does this job require exposure to high places?,11,Once a year or more but not every month,86,Never,,,,,,
Pace Determined by Speed of Equipment,How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.),89,Not important at all,,,,,,,,
"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection","How much does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?",18,Once a year or more but not every month,82,Never,,,,,,
Deal With Physically Aggressive People,How frequently does this job require the worker to deal with physical aggression of violent individuals?,11,Once a year or more but not every month,89,Never,,,,,,
"Spend Time Climbing Ladders, Scaffolds, or Poles","How much does this job require climbing ladders, scaffolds, or poles?",11,Less than half the time,89,Never,,,,,,
Exposed to Hazardous Conditions,How often does this job require exposure to hazardous conditions?,93,Never,,,,,,,,
Spend Time Keeping or Regaining Balance,How much does this job require keeping or regaining your balance?,93,Never,,,,,,,,
Exposed to Whole Body Vibration,"How often does this job require exposure to whole body vibration (e.g., operate a jackhammer)?",96,Never,,,,,,,,
Exposed to Disease or Infections,How often does this job require exposure to disease/infections?,100,Never,,,,,,,,
Exposed to Radiation,How often does this job require exposure to radiation?,100,Never,,,,,,,,
