O*NET-SOC Code,O*NET-SOC Title,Relatedness Tier
19-1029.01,Bioinformatics Scientists,Primary-Short
15-2041.01,Biostatisticians,Primary-Short
15-2051.02,Clinical Data Managers,Primary-Short
15-1221.00,Computer and Information Research Scientists,Primary-Long
15-2051.00,Data Scientists,Primary-Short
19-3011.01,Environmental Economists,Primary-Long
13-2099.01,Financial Quantitative Analysts,Primary-Long
15-2021.00,Mathematicians,Primary-Short
15-2031.00,Operations Research Analysts,Primary-Long
19-3022.00,Survey Researchers,Primary-Long
43-9111.00,Statistical Assistants,Supplemental
15-2099.01,Bioinformatics Technicians,Supplemental
19-4061.00,Social Science Research Assistants,Supplemental
29-9021.00,Health Information Technologists and Medical Registrars,Supplemental
19-1029.03,Geneticists,Supplemental
19-1041.00,Epidemiologists,Supplemental
15-1299.02,Geographic Information Systems Technologists and Technicians,Supplemental
25-1022.00,"Mathematical Science Teachers, Postsecondary",Supplemental
15-2051.01,Business Intelligence Analysts,Supplemental
19-1042.00,"Medical Scientists, Except Epidemiologists",Supplemental
