Importance,Category,Task
89,Core,Analyze and interpret statistical data to identify significant differences in relationships among sources of information.
84,Core,"Identify relationships and trends in data, as well as any factors that could affect the results of research."
84,Core,"Determine whether statistical methods are appropriate, based on user needs or research questions of interest."
83,Core,"Prepare data for processing by organizing information, checking for inaccuracies, and adjusting and weighting the raw data."
83,Core,"Present statistical and nonstatistical results, using charts, bullets, and graphs, in meetings or conferences to audiences such as clients, peers, and students."
80,Core,"Report results of statistical analyses, including information in the form of graphs, charts, and tables."
79,Core,"Design research projects that apply valid scientific techniques, and use information obtained from baselines or historical data to structure uncompromised and efficient analyses."
78,Core,"Process large amounts of data for statistical modeling and graphic analysis, using computers."
76,Core,"Adapt statistical methods to solve specific problems in many fields, such as economics, biology, and engineering."
76,Core,"Evaluate the statistical methods and procedures used to obtain data to ensure validity, applicability, efficiency, and accuracy."
74,Core,Report results of statistical analyses in peer-reviewed papers and technical manuals.
73,Core,"Evaluate sources of information to determine any limitations, in terms of reliability or usability."
71,Core,"Develop and test experimental designs, sampling techniques, and analytical methods."
71,Core,"Plan data collection methods for specific projects, and determine the types and sizes of sample groups to be used."
66,Core,Supervise and provide instructions for workers collecting and tabulating data.
65,Core,"Examine theories, such as those of probability and inference, to discover mathematical bases for new or improved methods of obtaining and evaluating numerical data."
64,Core,Prepare and structure data warehouses for storing data.
63,Core,Develop software applications or programming for statistical modeling and graphic analysis.
58,Core,"Apply sampling techniques, or use complete enumeration bases to determine and define groups to be surveyed."
