Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
Electronic Mail,How often do you use electronic mail in this job?,85,Every day,15,Once a week or more but not every day,,,,,,
"Indoors, Environmentally Controlled",How often does this job require working indoors in environmentally controlled conditions?,90,Every day,,,,,,,,
Spend Time Sitting,How much does this job require sitting?,55,Continually or almost continually,45,More than half the time,,,,,,
Face-to-Face Discussions,How often do you have to have face-to-face discussions with individuals or teams in this job?,40,Every day,60,Once a week or more but not every day,,,,,,
Freedom to Make Decisions,"How much decision making freedom, without supervision, does the job offer?",35,A lot of freedom,60,Some freedom,,,,,,
Importance of Being Exact or Accurate,How important is being very exact or highly accurate in performing this job?,42,Extremely important,47,Very important,,,,,,
Telephone,How often do you have telephone conversations in this job?,25,Every day,55,Once a week or more but not every day,20,Once a month or more but not every week,,,,
Structured versus Unstructured Work,"To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?",15,A lot of freedom,75,Some freedom,,,,,,
Work With Work Group or Team,How important is it to work with others in a group or team in this job?,15,Extremely important,60,Very important,25,Important,,,,
Contact With Others,"How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?",20,Constant contact with others,45,Contact with others most of the time,30,Contact with others about half the time,,,,
Duration of Typical Work Week,Number of hours typically worked in one week.,30,More than 40 hours,70,40 hours,,,,,,
Time Pressure,How often does this job require the worker to meet strict deadlines?,15,Every day,35,Once a week or more but not every day,40,Once a month or more but not every week,,,,
Impact of Decisions on Co-workers or Company Results,What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?,60,Important results,15,Minor results,,,,,,
Level of Competition,To what extent does this job require the worker to compete or to be aware of competitive pressures?,15,Extremely competitive,15,Highly competitive,60,Moderately competitive,,,,
Letters and Memos,How often does the job require written letters and memos?,32,Once a week or more but not every day,53,Once a month or more but not every week,11,Once a year or more but not every month,,,,
Coordinate or Lead Others,How important is it to coordinate or lead others in accomplishing work activities in this job?,15,Very important,50,Important,25,Fairly important,,,,
Consequence of Error,How serious would the result usually be if the worker made a mistake that was not readily correctable?,20,Serious,55,Fairly serious,,,,,,
Frequency of Decision Making,"How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?",11,Every day,16,Once a month or more but not every week,63,Once a year or more but not every month,,,,
Public Speaking,How often do you have to perform public speaking in this job?,30,Once a month or more but not every week,60,Once a year or more but not every month,,,,,,
Importance of Repeating Same Tasks,"How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?",25,Very important,30,Fairly important,30,Not important at all,,,,
Physical Proximity,To what extent does this job require the worker to perform job tasks in close physical proximity to other people?,30,"Slightly close (e.g., shared office)",55,"I work with others but not closely (e.g., private office)",,,,,,
Responsibility for Outcomes and Results,How responsible is the worker for work outcomes and results of other workers?,40,Moderate responsibility,35,Limited responsibility,15,No responsibility,,,,
