O*NET-SOC Code,O*NET-SOC Title,Relatedness Tier
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Primary-Short
47-2011.00,Boilermakers,Primary-Short
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",Primary-Long
51-2022.00,Electrical and Electronic Equipment Assemblers,Primary-Short
51-2031.00,Engine and Other Machine Assemblers,Primary-Long
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Primary-Long
49-9041.00,Industrial Machinery Mechanics,Primary-Long
51-2041.00,Structural Metal Fabricators and Fitters,Primary-Short
51-4194.00,"Tool Grinders, Filers, and Sharpeners",Primary-Long
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Primary-Short
51-9022.00,"Grinding and Polishing Workers, Hand",Supplemental
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Supplemental
51-4111.00,Tool and Die Makers,Supplemental
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Supplemental
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Supplemental
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",Supplemental
47-2211.00,Sheet Metal Workers,Supplemental
51-4041.00,Machinists,Supplemental
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Supplemental
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Supplemental
