Section,Category,Example
Technology,Analytical or scientific software,Fred's Tip Cartridge Picker
Technology,Analytical or scientific software,Scientific Software Group Filter Drain FD
Technology,Analytical or scientific software,Value Analysis
Technology,Calendar and scheduling software,OmniFleet Equipment Maintenance Management
Technology,Computer aided design CAD software,EZ Pipe
Technology,Data base user interface and query software,Oracle Database
Technology,Data base user interface and query software,Recordkeeping software
Technology,Electronic mail software,IBM Notes
Technology,Electronic mail software,Microsoft Outlook
Technology,Enterprise resource planning ERP software,
Technology,Office suite software,Microsoft Office software
Technology,Operating system software,Microsoft Windows
Technology,Spreadsheet software,Microsoft Excel
