Section,Category,Example
Tools,Adjustable widemouth pliers,
Tools,Adjustable wrenches,
Tools,Alternating current AC arc welder,Underwater welding equipment
Tools,Anvils,
Tools,Bench vises,Vises
Tools,Blow torch,Motorized cutting torches
Tools,Blow torch,Oxyacetylene torches
Tools,Blow torch,Pattern cutting torches
Tools,Blow torch,Propane torches
Tools,Calipers,Vernier calipers
Tools,Cutting die,Metal cutting dies
Tools,Deburring tool,Deburring tools
Tools,Desktop computers,
Tools,Direct current DC arc welder,Mobile welding units
Tools,Drill press or radial drill,Drill presses
Tools,Drill press or radial drill,Portable magnetic drill presses
Tools,Drill press or radial drill,Punch presses
Tools,Electrode holder,Underwater electrode holders
Tools,Electrode holder,Welding electrode holders
Tools,Flame cutting machine,Semiautomatic flame-cutting equipment
Tools,Flow sensors,Gas flow measurement instruments
Tools,Forklifts,
Tools,Frequency converters,Current converters
Tools,Gas welding or brazing or cutting apparatus,Oxyacetylene welding equipment
Tools,Gas welding or brazing or cutting apparatus,Rod ovens
Tools,Gas welding or brazing or cutting apparatus,Storage ovens and hot boxes
Tools,Goggles,
Tools,Hacksaw,Hacksaws
Tools,Hammers,Hand chipping hammers
Tools,Hand clamps,
Tools,Hoists,Electric overhead hoists
Tools,Hydraulic press brake,Metal benders
Tools,Hydraulic press frames,Hydraulic presses
Tools,Impact wrenches,
Tools,Induction heaters,Heating coils
Tools,Jacks,Hydraulic jacks
Tools,Ladders,
Tools,Laser printers,
Tools,Laser welding machine,Laser welders
Tools,Levels,
Tools,Light trucks or sport utility vehicles,Light trucks
Tools,Manlift or personnel lift,Hydraulic truck lifts
Tools,Manlift or personnel lift,Swing stages
Tools,Manual press brake,Brakes
Tools,Metal band sawing machine,Bandsaws
Tools,Metal inert gas welding machine,Metal inert gas MIG welders
Tools,Metal inert gas welding machine,Wirefeed welders
Tools,Metal slitting saw,Slitters
Tools,Metal stamps,Metal markers
Tools,Microcontrollers,Computerized numerical control CNC programmable welding robot controllers
Tools,Micrometers,
Tools,Mill saw file,Single-cut mill saw files
Tools,Milling machines,
Tools,Nibblers,
Tools,Notebook computers,
Tools,Personal computers,
Tools,Pipe or tube cutter,Pipe cutters
Tools,Plasma arc welding machine,Plasma welders
Tools,Pneumatic drill,Air drills
Tools,Pneumatic hammer,Air chisels
Tools,Pneumatic sanding machines,Air scalers
Tools,Positioning jig,Jigs
Tools,Positioning jig,Soldering jigs
Tools,Potentiometers,
Tools,Power buffers,Buffers
Tools,Power chippers,
Tools,Power drills,
Tools,Power grinders,Grinding machines
Tools,Power saws,Cutoff saws
Tools,Power saws,Reciprocating saws
Tools,Pressure or steam cleaners,Steam cleaning equipment
Tools,Protective gloves,Waterproof gloves
Tools,Protractors,Angle finders
Tools,Pry bars,Pinchbars
Tools,Pullers,Comealongs
Tools,Punches or nail sets or drifts,Punches
Tools,Pyrometers,Surface contact pyrometers
Tools,Ratchets,
Tools,Respiration air supplying self contained breathing apparatus or accessories,Self-contained breathing apparatus
Tools,Respirators,Respirator hose masks
Tools,Rulers,
Tools,Safety glasses,Welding lenses
Tools,Scaffolding,
Tools,Screwdrivers,
Tools,Scribers,
Tools,Shears,Unishears
Tools,Shielded metal arc welding or stick welding machine,Portable gas operated arc welders
Tools,Shielded metal arc welding or stick welding machine,Shielded arc welding tools
Tools,Socket sets,Socket wrench sets
Tools,Soldering iron,Soldering irons
Tools,Speed sensors,Wire feed rate measurement instruments
Tools,Spot welding machine,Resistance welding equipment
Tools,Spot welding machine,Welding guns
Tools,Squares,
Tools,Straight edges,Straightedges
Tools,Tape measures,
Tools,Taps,Metal cutting taps
Tools,Temperature gauge,Temperature gauges
Tools,Templates,
Tools,Thickness measuring devices,Fillet weld gauges
Tools,Threading machine,Electric pipe threaders
Tools,Threading taps,Hand pipe threaders
Tools,Tinners snips,Tin snips
Tools,Tongs,
Tools,Tracer or duplicating or contouring lathe,Lathes
Tools,Track cranes,Overhead cranes
Tools,Tube bending machine,Tube benders
Tools,Tungsten inert gas welding machine,Heliarc welding equipment
Tools,Tungsten inert gas welding machine,Tungsten inert gas TIG welding equipment
Tools,Two way radios,
Tools,Ultrasonic welding machine,Ultrasonic soldering equipment
Tools,Ultrasonic welding machine,Ultrasonic welding equipment
Tools,Utility knives,
Tools,Voltage or current meters,Arc voltage measurement instruments
Tools,Voltage or current meters,Welding current measurement instruments
Tools,Welder torch,Brazing equipment
Tools,Welder torch,Welding torches
Tools,Welding electrode,Underwater electrodes
Tools,Welding electrode,Welding electrodes
Tools,Welding generator,Direct current DC sources
Tools,Welding masks,Hand shields
Tools,Welding masks,Welding shields
Tools,Welding or cutting tip,Torch tips
Tools,Welding or cutting tip,Welding tips
Tools,Welding robots,
Tools,Welding wire,Electrode wires
Tools,Wetsuits,Dive suits
Tools,Winches,
Tools,Wire brushes,Power wire brushes
Tools,Wire cutters,
Tools,Workshop cranes,Jibs
