Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets","How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?",86,Every day,,,,,,,,
"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls","How much does this job require using your hands to handle, control, or feel objects, tools or controls?",74,Continually or almost continually,17,More than half the time,,,,,,
Time Pressure,How often does this job require the worker to meet strict deadlines?,72,Every day,16,Once a week or more but not every day,,,,,,
Face-to-Face Discussions,How often do you have to have face-to-face discussions with individuals or teams in this job?,67,Every day,15,Once a week or more but not every day,,,,,,
Importance of Being Exact or Accurate,How important is being very exact or highly accurate in performing this job?,56,Extremely important,32,Very important,,,,,,
Exposed to Contaminants,"How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?",62,Every day,14,Once a week or more but not every day,16,Never,,,,
"Sounds, Noise Levels Are Distracting or Uncomfortable",How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?,58,Every day,15,Once a week or more but not every day,15,Never,,,,
Work With Work Group or Team,How important is it to work with others in a group or team in this job?,38,Extremely important,30,Very important,12,Important,19,Fairly important,,
Contact With Others,"How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?",44,Constant contact with others,20,Contact with others most of the time,11,Contact with others about half the time,20,Occasional contact with others,,
Duration of Typical Work Week,Number of hours typically worked in one week.,35,More than 40 hours,65,40 hours,,,,,,
"Indoors, Not Environmentally Controlled","How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?",59,Every day,31,Never,,,,,,
Spend Time Standing,How much does this job require standing?,40,Continually or almost continually,12,More than half the time,15,About half the time,25,Less than half the time,,
"Exposed to Minor Burns, Cuts, Bites, or Stings","How often does this job require exposure to minor burns, cuts, bites, or stings?",48,Every day,18,Once a year or more but not every month,20,Never,,,,
Spend Time Making Repetitive Motions,How much does this job require making repetitive motions?,33,Continually or almost continually,18,More than half the time,20,About half the time,20,Less than half the time,,
Impact of Decisions on Co-workers or Company Results,What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?,30,Very important results,26,Important results,21,Moderate results,17,No results,,
Structured versus Unstructured Work,"To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?",18,A lot of freedom,40,Some freedom,17,Limited freedom,11,Very little freedom,14,No freedom
Frequency of Decision Making,"How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?",50,Every day,18,Once a year or more but not every month,26,Never,,,,
Responsible for Others' Health and Safety,How much responsibility is there for the health and safety of others in this job?,28,Very high responsibility,27,High responsibility,18,Moderate responsibility,20,No responsibility,,
Freedom to Make Decisions,"How much decision making freedom, without supervision, does the job offer?",24,A lot of freedom,23,Some freedom,27,Limited freedom,13,Very little freedom,14,No freedom
Physical Proximity,To what extent does this job require the worker to perform job tasks in close physical proximity to other people?,50,Moderately close (at arm's length),30,"Slightly close (e.g., shared office)",16,"I work with others but not closely (e.g., private office)",,,,
Consequence of Error,How serious would the result usually be if the worker made a mistake that was not readily correctable?,33,Extremely serious,18,Very serious,26,Fairly serious,16,Not serious at all,,
Very Hot or Cold Temperatures,How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?,33,Every day,17,Once a week or more but not every day,11,Once a month or more but not every week,13,Once a year or more but not every month,26,Never
Exposed to Hazardous Equipment,How often does this job require exposure to hazardous equipment?,41,Every day,11,Once a week or more but not every day,17,Once a year or more but not every month,30,Never,,
Importance of Repeating Same Tasks,"How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?",26,Extremely important,16,Very important,25,Important,16,Fairly important,18,Not important at all
Extremely Bright or Inadequate Lighting,How often does this job require working in extremely bright or inadequate lighting conditions?,46,Every day,43,Never,,,,,,
Responsibility for Outcomes and Results,How responsible is the worker for work outcomes and results of other workers?,30,Very high responsibility,13,High responsibility,19,Moderate responsibility,12,Limited responsibility,26,No responsibility
Spend Time Bending or Twisting the Body,How much does this job require bending or twisting your body?,29,Continually or almost continually,16,More than half the time,36,Less than half the time,18,Never,,
Coordinate or Lead Others,How important is it to coordinate or lead others in accomplishing work activities in this job?,13,Extremely important,27,Very important,19,Important,30,Fairly important,12,Not important at all
Exposed to Hazardous Conditions,How often does this job require exposure to hazardous conditions?,35,Every day,13,Once a year or more but not every month,40,Never,,,,
Level of Competition,To what extent does this job require the worker to compete or to be aware of competitive pressures?,25,Highly competitive,39,Moderately competitive,28,Not at all competitive,,,,
Spend Time Walking and Running,How much does this job require walking and running?,17,Continually or almost continually,14,About half the time,55,Less than half the time,,,,
"Indoors, Environmentally Controlled",How often does this job require working indoors in environmentally controlled conditions?,40,Every day,56,Never,,,,,,
"Cramped Work Space, Awkward Positions",How often does this job require working in cramped work spaces that requires getting into awkward positions?,18,Every day,26,Once a week or more but not every day,44,Never,,,,
Pace Determined by Speed of Equipment,How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.),14,Extremely important,18,Very important,16,Important,21,Fairly important,30,Not important at all
Spend Time Sitting,How much does this job require sitting?,19,Continually or almost continually,15,About half the time,30,Less than half the time,31,Never,,
Frequency of Conflict Situations,How often are there conflict situations the employee has to face in this job?,13,Every day,14,Once a week or more but not every day,19,Once a month or more but not every week,47,Never,,
"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection","How much does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?",24,Every day,15,Once a year or more but not every month,54,Never,,,,
Deal With Unpleasant or Angry People,"How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?",28,Once a month or more but not every week,17,Once a year or more but not every month,40,Never,,,,
Letters and Memos,How often does the job require written letters and memos?,18,Once a week or more but not every day,11,Once a month or more but not every week,12,Once a year or more but not every month,50,Never,,
Telephone,How often do you have telephone conversations in this job?,16,Every day,14,Once a year or more but not every month,57,Never,,,,
"Spend Time Kneeling, Crouching, Stooping, or Crawling","How much does this job require kneeling, crouching, stooping or crawling?",20,About half the time,23,Less than half the time,44,Never,,,,
Deal With External Customers,How important is it to work with external customers or the public in this job?,17,Important,61,Not important at all,,,,,,
Electronic Mail,How often do you use electronic mail in this job?,18,Every day,74,Never,,,,,,
Spend Time Keeping or Regaining Balance,How much does this job require keeping or regaining your balance?,14,About half the time,23,Less than half the time,54,Never,,,,
Exposed to High Places,How often does this job require exposure to high places?,11,Once a week or more but not every day,17,Once a month or more but not every week,62,Never,,,,
In an Open Vehicle or Equipment,"How often does this job require working in an open vehicle or equipment (e.g., tractor)?",13,Once a month or more but not every week,67,Never,,,,,,
Degree of Automation,How automated is the job?,13,Moderately automated,20,Slightly automated,59,Not at all automated,,,,
"Outdoors, Exposed to Weather","How often does this job require working outdoors, exposed to all weather conditions?",23,Once a year or more but not every month,68,Never,,,,,,
Exposed to Radiation,How often does this job require exposure to radiation?,82,Never,,,,,,,,
In an Enclosed Vehicle or Equipment,"How often does this job require working in a closed vehicle or equipment (e.g., car)?",77,Never,,,,,,,,
Public Speaking,How often do you have to perform public speaking in this job?,29,Once a year or more but not every month,64,Never,,,,,,
"Spend Time Climbing Ladders, Scaffolds, or Poles","How much does this job require climbing ladders, scaffolds, or poles?",33,Less than half the time,63,Never,,,,,,
"Outdoors, Under Cover","How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?",84,Never,,,,,,,,
Work Schedules,How regular are the work schedules for this job?,86,"Regular (established routine, set schedule)",,,,,,,,
Exposed to Whole Body Vibration,"How often does this job require exposure to whole body vibration (e.g., operate a jackhammer)?",87,Never,,,,,,,,
Deal With Physically Aggressive People,How frequently does this job require the worker to deal with physical aggression of violent individuals?,86,Never,,,,,,,,
Exposed to Disease or Infections,How often does this job require exposure to disease/infections?,96,Never,,,,,,,,
